Name       Tel  F JD              mag       emag
SNLS05D2bk CFHT g 2453385.521028  23.319532 0.017554 
SNLS05D2bk CFHT g 2453390.541053  23.563223 0.029466 
SNLS05D2bk CFHT g 2453408.495088  24.866578 0.064357 
SNLS05D2bk CFHT g 2453415.520000  25.599351 0.234935 
SNLS05D2bk CFHT g 2453446.346612  24.983061 0.099689 
SNLS05D2bk CFHT g 2453463.312549  25.554518 0.140440 
SNLS05D2bk CFHT g 2453469.341369  25.349999 0.098551 
SNLS05D2bk CFHT g 2453474.385873  25.373183 0.141104 
SNLS05D2bk CFHT r 2453375.587226  24.899650 0.125645 
SNLS05D2bk CFHT r 2453385.587839  23.033831 0.020079 
SNLS05D2bk CFHT r 2453390.468067  23.162756 0.029936 
SNLS05D2bk CFHT r 2453408.473256  24.013896 0.044475 
SNLS05D2bk CFHT r 2453411.518691  24.139143 0.048060 
SNLS05D2bk CFHT r 2453415.484316  24.332386 0.081407 
SNLS05D2bk CFHT r 2453418.498568  24.363564 0.084354 
SNLS05D2bk CFHT r 2453440.479094  24.289739 0.087075 
SNLS05D2bk CFHT r 2453446.311289  24.198013 0.091053 
SNLS05D2bk CFHT r 2453462.398000  24.583104 0.279624 
SNLS05D2bk CFHT r 2453463.271256  24.621197 0.110298 
SNLS05D2bk CFHT r 2453466.363561  24.447031 0.079406 
SNLS05D2bk CFHT r 2453470.296254  24.746945 0.097887 
SNLS05D2bk CFHT r 2453474.402558  25.062470 0.151444 
SNLS05D2bk CFHT r 2453495.352000  25.130617 0.254935 
SNLS05D2bk CFHT r 2453503.300000  25.284815 0.240249 
SNLS05D2bk CFHT r 2453374.649923 >25.484539          
SNLS05D2bk CFHT r 2453375.583527 >25.603240          
SNLS05D2bk CFHT i 2453378.461889  23.928844 0.123836 
SNLS05D2bk CFHT i 2453385.551278  22.848942 0.019595 
SNLS05D2bk CFHT i 2453390.434097  22.940407 0.028699 
SNLS05D2bk CFHT i 2453408.436996  23.651068 0.057389 
SNLS05D2bk CFHT i 2453411.479887  23.687422 0.039687 
SNLS05D2bk CFHT i 2453416.445892  23.803364 0.081365 
SNLS05D2bk CFHT i 2453418.415922  23.890921 0.089630 
SNLS05D2bk CFHT i 2453440.418693  23.766346 0.065003 
SNLS05D2bk CFHT i 2453446.253810  23.727778 0.077923 
SNLS05D2bk CFHT i 2453461.413698  23.630276 0.167320 
SNLS05D2bk CFHT i 2453462.350735  23.911850 0.122868 
SNLS05D2bk CFHT i 2453466.292137  23.910648 0.075491 
SNLS05D2bk CFHT i 2453470.264802  23.974054 0.067882 
SNLS05D2bk CFHT i 2453474.364291  24.027197 0.096698 
SNLS05D2bk CFHT i 2453495.270381  24.272593 0.098076 
SNLS05D2bk CFHT i 2453503.277933  24.276529 0.129440 
SNLS05D2bk CFHT i 2453374.602170 >25.427421          
SNLS05D2bk CFHT i 2453378.454972 >24.642352          
SNLS05D2bk CFHT z 2453375.620000  24.119369 0.203332 
SNLS05D2bk CFHT z 2453390.504952  22.755037 0.045613 
SNLS05D2bk CFHT z 2453411.553550  23.295187 0.093546 
SNLS05D2bk CFHT z 2453419.394000  23.736543 0.271663 
SNLS05D2bk CFHT z 2453446.350838  23.253715 0.106765 
SNLS05D2bk CFHT z 2453463.380000  23.876539 0.300663 
SNLS05D2bk CFHT z 2453375.620002 >24.764079          
