Name       Tel  F JD              mag       emag
SNLS06D1hc CFHT g 2454053.451090  22.835921 0.010994 
SNLS06D1hc CFHT g 2454056.473249  22.852975 0.012323 
SNLS06D1hc CFHT g 2454060.425385  22.914040 0.011502 
SNLS06D1hc CFHT g 2454063.441906  23.141339 0.014888 
SNLS06D1hc CFHT g 2454066.385807  23.336817 0.018619 
SNLS06D1hc CFHT g 2454081.371873  24.514507 0.052809 
SNLS06D1hc CFHT g 2454086.262691  24.555699 0.088546 
SNLS06D1hc CFHT g 2454089.324074  25.039184 0.091834 
SNLS06D1hc CFHT g 2454092.308000  25.186328 0.255371 
SNLS06D1hc CFHT g 2454093.298989  25.352928 0.139542 
SNLS06D1hc CFHT g 2454095.290000  25.304097 0.194288 
SNLS06D1hc CFHT g 2454039.375099 >25.868852          
SNLS06D1hc CFHT r 2454053.432030  22.634015 0.014193 
SNLS06D1hc CFHT r 2454056.438839  22.585678 0.014634 
SNLS06D1hc CFHT r 2454060.405853  22.654654 0.013975 
SNLS06D1hc CFHT r 2454063.421810  22.781031 0.017226 
SNLS06D1hc CFHT r 2454066.317942  22.931900 0.024798 
SNLS06D1hc CFHT r 2454081.352338  23.706495 0.043729 
SNLS06D1hc CFHT r 2454085.338000  23.697101 0.144064 
SNLS06D1hc CFHT r 2454086.242942  24.046145 0.107185 
SNLS06D1hc CFHT r 2454089.303842  24.191643 0.076266 
SNLS06D1hc CFHT r 2454092.293657  24.070971 0.097802 
SNLS06D1hc CFHT r 2454095.273907  24.498745 0.104964 
SNLS06D1hc CFHT r 2454113.281322  24.895457 0.193086 
SNLS06D1hc CFHT r 2454117.281144  25.364222 0.246154 
SNLS06D1hc CFHT r 2454120.289000  25.471129 0.259526 
SNLS06D1hc CFHT r 2454123.261188  24.915558 0.183444 
SNLS06D1hc CFHT r 2454039.355069 >25.567369          
SNLS06D1hc CFHT i 2454039.325000  24.610213 0.370938 
SNLS06D1hc CFHT i 2454053.395040  22.486291 0.017196 
SNLS06D1hc CFHT i 2454056.356924  22.366547 0.026948 
SNLS06D1hc CFHT i 2454060.365024  22.420920 0.015147 
SNLS06D1hc CFHT i 2454063.392371  22.547336 0.021123 
SNLS06D1hc CFHT i 2454066.285977  22.761788 0.029649 
SNLS06D1hc CFHT i 2454081.315875  23.336652 0.038046 
SNLS06D1hc CFHT i 2454086.217059  23.204978 0.098567 
SNLS06D1hc CFHT i 2454089.227666  23.638814 0.071995 
SNLS06D1hc CFHT i 2454092.268958  23.867819 0.169034 
SNLS06D1hc CFHT i 2454095.238011  23.695050 0.068454 
SNLS06D1hc CFHT i 2454113.245276  23.978155 0.090845 
SNLS06D1hc CFHT i 2454117.258814  24.055209 0.107207 
SNLS06D1hc CFHT i 2454120.241589  24.200508 0.112058 
SNLS06D1hc CFHT i 2454123.231994  24.284872 0.112475 
SNLS06D1hc CFHT i 2454039.321138 >24.926890          
SNLS06D1hc CFHT z 2454053.477450  22.443493 0.068065 
SNLS06D1hc CFHT z 2454060.456859  22.295484 0.035502 
SNLS06D1hc CFHT z 2454066.352796  22.558897 0.047609 
SNLS06D1hc CFHT z 2454081.398466  23.150851 0.126944 
SNLS06D1hc CFHT z 2454089.263934  23.471630 0.173676 
SNLS06D1hc CFHT z 2454095.321000  23.682060 0.212158 
SNLS06D1hc CFHT z 2454114.245867  24.280642 0.280187 
SNLS06D1hc CFHT z 2454121.278934  24.111668 0.286181 
SNLS06D1hc CFHT z 2454039.405817 >24.832956          
SNLS06D1hc CFHT z 2454053.483006 >23.232154          
