MJD        Tel      Filt VMag   ABMag   Emag Ref
58281.3162 P48      r    >20.22 >20.22  -    ZTF
58281.4800 ATLAS    o    >20.20 >20.20  -    Prentice+2018
58282.1720 P48      i    >19.50 >19.50  -    ATEL11738
58284.1300 ASASSN   g    >18.90 >18.90  -    Prentice+2018
58285.4400 ATLAS    o     14.70  14.70  0.10 Prentice+2018
58286.1950 P48      i     14.32  14.32  0.03 ATEL11738
58287.1500 GROND    g     13.40  13.40  0.05 Prentice+2018
58287.1500 GROND    r     13.80  13.80  0.10 Prentice+2018
58287.1500 GROND    i     14.10  14.10  0.10 Prentice+2018
58287.1500 GROND    z     14.34  14.32  0.05 Prentice+2018
58287.1500 GROND    J     13.81  14.71  0.07 Prentice+2018
58287.1500 GROND    H     13.72  15.10  0.08 Prentice+2018
58287.1500 GROND    K     13.46  15.30  0.10 Prentice+2018
58287.2674 P60      r     13.93  13.93  0.03 
58288.2020 GROND    g     13.65  13.65  0.05 Prentice+2018
58288.2020 GROND    r     14.10  14.10  0.10 Prentice+2018
58288.2020 GROND    i     14.40  14.40  0.10 Prentice+2018
58288.2020 GROND    z     14.69  14.67  0.05 Prentice+2018
58288.2020 GROND    J     14.14  15.04  0.07 Prentice+2018
58288.2020 GROND    H     14.05  15.43  0.07 Prentice+2018
58288.2020 GROND    K     13.76  15.60  0.10 Prentice+2018
58288.2981 P48      r     14.20  14.20  0.03 ZTF
58288.3405 P60      r     14.18  14.18  0.03 
58288.4416 UVOT     UVW1  11.82  13.34  0.05 
58288.4421 UVOT     UVU   12.54  13.57  0.05 
58288.4426 UVOT     UVB   14.00  13.85  0.04 
58288.4442 UVOT     UVW2  11.46  13.29  0.06 
58288.4448 UVOT     UVV   14.09  14.06  0.05 
58288.4464 UVOT     UVM2  11.71  13.40  0.05 
58289.0227 IOO      u     13.92  13.97  0.03 
58289.0234 IOO      g     14.10  14.10  0.03 
58289.0241 IOO      r     14.35  14.35  0.03 
58289.0248 IOO      i     14.78  14.78  0.03 
58289.0255 IOO      z     15.03  15.01  0.03 
58289.1889 KPED     g     14.18  14.18  0.03 
58289.1901 KPED     r     14.43  14.43  0.04 
58289.1904 P60      r     14.38  14.38  0.03 
58289.1963 KPED     U     13.34  14.03  0.10 
58289.2108 P60      r     14.39  14.39  0.03 
