jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,mag,mag_unc,limmag
2458131.583912,b'g',2.12,8.46581555625849,26.0,1.71289e-05,0.0,554.0,3.0,1.0,1.0,247.9066116,-17.4104674,-0.1380641,223.6249237,1.0,0.0,7.965524132251739,-0.3193042278289795,ztf_20180113083461_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113083461_000554_zg_c03_o_q1_diffimgpsf.fits',-32.52008045625337,30.138741457401515,-1.2946477216611102e-09,1.199844908738793e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.554762206607347
2458131.6046412,b'g',2.516,8.86713937071512,26.0,1.52778e-05,0.0,554.0,3.0,1.0,1.0,248.2365791,-17.4375905,-0.1367194,223.401123,1.0,0.0,6.288521646308899,-1.0171115398406982,ztf_20180113104213_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113104213_000554_zg_c03_o_q1_diffimgpsf.fits',4.570955885180541,26.159484361971472,1.8197303141740802e-10,1.0414278302514392e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.708502041111487
2458131.6251389,b'g',2.854,8.5876869787728,26.0,2.08526e-05,0.0,554.0,3.0,1.0,1.0,248.5698156,-17.4668826,-0.1353801,223.1773071,1.0,0.0,5.7698746078491165,-0.9834293127059937,ztf_20180113125058_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113125058_000554_zg_c03_o_q1_diffimgpsf.fits',-22.07686579732649,26.227808388285183,-8.78895857726292e-10,1.0441478588643928e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.705669983533404
2458131.6498611,b'g',2.283,7.93279012419635,26.0,1.62319e-05,0.0,554.0,3.0,1.0,1.0,248.9791268,-17.5057984,-0.1337555,222.904541,1.1,0.0,7.4296061830997475,-0.6929490566253662,ztf_20180113149861_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113149861_000554_zg_c03_o_q1_diffimgpsf.fits',-21.006553797954403,29.43178849845608,-8.362859695583442e-10,1.1717006044116346e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.58053335428662
2458131.671331,b'g',2.614,6.734512023331,26.0,1.88008e-05,0.0,554.0,3.0,1.0,1.0,249.3394338,-17.543002,-0.1323873,222.6737366,1.1,0.0,7.0850260409355155,0.12930649518966675,ztf_20180113171331_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113171331_000554_zg_c03_o_q1_diffimgpsf.fits',-0.11137572338523682,31.0069615218216,-4.433947410524558e-12,1.2344093718913573e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.52392696335702
2458131.7106134,b'g',3.04,7.00244107091483,26.0,2.87158e-05,0.0,554.0,3.0,1.0,1.0,250.0047682,-17.6197371,-0.1298739,222.2470856,1.3,0.0,7.463423777532578,-0.5931103229522705,ztf_20180113210602_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180113210602_000554_zg_c03_o_q1_diffimgpsf.fits',3.1551102921507157,35.03220628393055,1.2560720311923386e-10,1.3946572521981592e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.391406265419914
2458132.6473611,b'g',1.978,8.80626739877547,26.0,1.37337e-05,0.0,554.0,3.0,1.0,1.0,261.123695,-19.2478672,-0.0764003,212.091629,1.1,0.0,6.731746975183487,-0.24393540620803833,ztf_20180114147361_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180114147361_000554_zg_c03_o_q1_diffimgpsf.fits',-37.69733536308124,24.569548441817723,-1.5007579518802552e-09,9.781313413791264e-10,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.776582052072424
2458132.6674537,b'g',2.358,8.74160985913171,26.0,1.35631e-05,0.0,554.0,3.0,1.0,1.0,261.4583887,-19.2603672,-0.0753981,211.8748169,1.1,0.0,6.64131008234024,-0.6565617322921753,ztf_20180114167442_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180114167442_000554_zg_c03_o_q1_diffimgpsf.fits',12.813318742730017,26.90222125743125,5.101074070068338e-10,1.0709967186589667e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.678104638575384
2458132.7067708,b'g',2.406,8.40991498964004,26.0,1.32277e-05,0.0,554.0,3.0,1.0,1.0,262.1261137,-19.2934528,-0.0734756,211.4551697,1.3,0.0,6.9755113673210145,-0.9415390491485596,ztf_20180114206771_000554_zg_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180114206771_000554_zg_c03_o_q1_diffimgpsf.fits',-26.547042894606967,27.444958323146007,-1.0568568133334296e-09,1.0926034704744984e-09,2458304.9641272104,2458363.905018264,5540311.0,0.0,0.0,20.656418550046304
2458355.9963426,b'r',2.063,6.2,26.246345,1.0207e-05,3.0,554.0,3.0,1.0,2.0,323.408,-16.1833,0.991108,10.8219,1.041,0.0,7.901309609985351,0.3735921382904053,ztf_20180825496331_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180825496331_000554_zr_c03_o_q1_diffimgpsf.fits',-12.672239164682715,27.766866388888978,-4.020826752366422e-10,8.810262950056291e-10,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.89010281289309
2458356.9321181,b'r',2.061,6.2,26.237805,1.24977e-05,3.0,554.0,3.0,1.0,2.0,334.882,-13.309,0.999982,0.484569,1.077,0.0,12.379456494092942,-0.8553267121315002,ztf_20180826432118_000554_zr_c03_o_q1_scimrefdiffimg.fits,b'ztf_20180826432118_000554_zr_c03_o_q1_diffimgpsf.fits',-42.52164867310475,46.48049446995907,-1.359840886083128e-09,1.4864446408234828e-09,2458312.9458906366,2458354.9970970717,5540312.0,0.0,0.0,20.322203140276578
