Name RA Dec Date z dt limit
1-10ah 10:48:15.784 +57:24:19.48 55248.0 0.074 2836.0 102.767341393
PS1-10bjp 23:26:21.402 -01:31:23.11 55493.0 0.113 "" ""
PS1-11qr 09:56:41.767 +01:53:38.25 55653.0 0.324 2467.0 130.771551802
PS1-12bb 09:57:23.866 +03:11:04.47 55946.0 0.101 2174.0 149.491244771
PS1-12bv 12:25:34.602 +46:41:26.97 55946.0 0.405 "" ""
PS1-12brf 22:16:06.892 -00:58:09.81 56210.0 0.275 1892.0 124.242622253
PS1-11bbq 08:42:34.733 +42:55:49.61 55896.0 0.646 "" ""
PS1-13duy 22:21:47.929 -00:14:34.94 56597.0 0.27 1505.0 127.394821117
PS1-13dwm 22:20:12.081 +00:56:22.35 56601.0 0.245 1422.0 155.324445775
PS1-13ess 02:22:09.428 -03:03:00.51 56652.0 0.296 "" ""
PS1-10iu 16:11:34.886 +55:08:47.91 55353.0 -1.0 2689.0 103.279973703
PS1-13aea 12:18:14.320 +47:20:12.60 56389.0 -1.0 "" ""
PS1-13bit 16:12:00.765 +54:16:08.16 56424.0 -1.0 1618.0 104.380301431
PS1-13cgt 16:18:56.245 +54:19:33.71 56490.0 -1.0 1552.0 123.016196808
DES13X1hav 02:20:07.80 -05:06:36.53 56551.0 0.58 "" ""
DES15S1fli 02:52:45.15 -00:53:10.21 57276.0 0.45 826.0 150.11003911
DES13X3gms 02:23:12.27 -04:29:38.35 56567.0 0.65 1520.0 139.986667275
DES15S1fll 02:51:09.36 -00:11:48.71 57276.0 0.23 826.0 139.705259736
DES14C3tvw 03:33:17.61 -27:54:23.92 57029.0 0.7 "" ""
DES15X3mxf 02:26:57.72 -05:14:22.81 57356.0 0.44 "" ""
DES14S2anq 02:45:06.67 -00:44:42.77 56903.0 0.05 1199.0 118.394506875
DES16C1cbd 03:39:25.97 -27:40:20.37 57660.0 0.54 "" ""
DES14S2plb 02:47:25.62 -01:37:06.91 56990.0 0.12 "" ""
DES16C2ggt 03:35:33.88 -29:13:29.33 57756.0 0.31 "" ""
DES14S2pli 02:44:54.76 -01:05:52.74 56987.0 0.35 "" ""
DES16E1bir 00:30:58.64 -42:58:37.18 57653.0 1.56 "" ""
DES14X3pkl 02:28:50.64 -04:48:26.44 56987.0 0.3 1100.0 105.523482285
DES16E2pv 00:36:50.19 -43:31:40.16 57629.0 0.73 "" ""
DES15C3lpq 03:30:50.89 -28:36:47.08 57317.0 0.61 849.0 145.762763002
DES16S1dxu 02:50:43.53 -00:42:33.29 57717.0 0.14 385.0 154.224150964
DES15C3mgq 03:31:04.56 -28:12:31.74 57331.0 0.23 835.0 99.9168938166
DES16X1eho 02:21:22.87 -04:31:32.64 57722.0 0.76 365.0 152.455420917
DES15E2nqh 00:38:55.59 -43:05:13.14 57366.0 0.52 "" ""
DES16X3cxn 02:27:19.32 -04:57:04.27 57694.0 0.58 393.0 128.173050527
DES13C1tgd 03:36:15.42 -27:38:19.07 56615.0 0.2 "" ""
DES15C3lzm 03:28:41.86 -28:13:54.96 57327.0 0.33 839.0 106.010515276
DES13C3bcok 03:32:06.47 -28:37:29.70 56653.0 0.35 1513.0 98.8209957144
DES15C3nat 03:31:32.44 -28:43:25.06 57356.0 0.84 810.0 108.830949065
DES13C3uig 03:31:46.55 -27:35:07.96 56625.0 0.67 "" ""
DES15C3opk 03:26:38.76 -28:20:50.12 57389.0 0.57 777.0 125.940484211
DES13E2lpk 00:40:23.80 -43:32:19.74 56575.0 0.48 "" ""
DES15C3opp 03:26:57.53 -28:06:53.61 57385.0 0.44 781.0 112.723727761
DES13X3npb 02:26:34.11 -04:08:01.96 56676.0 0.5 1411.0 122.290401067
DES15X2ead 02:25:57.38 -06:27:04.78 57273.0 0.23 "" ""
DES13X3nyg 02:27:58.17 -03:54:48.05 56591.0 0.71 "" ""
DES16C3axz 03:31:14.15 -28:40:00.25 57643.0 0.23 523.0 100.655192141
DES13X3pby 02:25:19.98 -05:18:50.58 56602.0 0.96 "" ""
DES16C3gin 03:31:03.06 -28:17:30.98 57775.0 0.35 391.0 107.72140853
DES14X1bnh 02:14:59.79 -04:47:33.32 56915.0 0.83 1172.0 145.502925001
DES16X3ega 02:28:23.71 -04:46:36.18 57730.0 0.26 357.0 111.396624733
DES15C2eal 03:36:14.68 -29:13:49.32 57276.0 0.22 "" ""
DES13C1acmt 03:37:18.99 -26:50:00.99 56645.0 -1.0 "" ""
DES15C3mfu 03:28:36.08 -28:44:20.00 57331.0 -1.0 835.0 187.895118625
DES13C3abtt 03:30:28.91 -28:09:42.12 56653.0 -1.0 1513.0 107.46302976
DES15C3pbi 03:28:56.68 -28:00:07.98 57394.0 -1.0 772.0 182.730104537
DES13C3asvu 03:31:20.82 -27:21:38.89 56595.0 -1.0 "" ""
DES15E2lmq 00:38:28.82 -43:59:14.04 57315.0 -1.0 "" ""
DES13C3avkj 03:27:52.97 -27:31:40.86 56563.0 -1.0 "" ""
DES15X3atd 02:23:21.64 -04:17:28.95 57257.0 -1.0 830.0 146.771892371
DES13C3nxi 03:27:51.22 -28:21:26.21 56607.0 -1.0 1559.0 75.4270713353
DES15X3kyt 02:25:05.98 -05:24:39.65 57302.0 -1.0 "" ""
DES13C3smn 03:27:53.08 -28:05:00.93 56602.0 -1.0 1564.0 124.721233625
DES15X3nlv 02:24:10.70 -05:01:38.47 57366.0 -1.0 "" ""
DES13X2oyb 02:21:14.55 -05:40:44.03 56579.0 -1.0 "" ""
DES15X3oma 02:26:59.07 -05:06:37.70 57386.0 -1.0 "" ""
DES13X3aakf 02:22:50.84 -04:41:57.01 56646.0 -1.0 1441.0 108.1952204
DES16C1bde 03:37:12.34 -26:45:29.93 57643.0 -1.0 "" ""
DES13X3afjd 02:28:00.31 -04:34:59.39 56676.0 -1.0 1411.0 123.222564837
DES16C2grk 03:40:16.35 -29:17:20.18 57770.0 -1.0 "" ""
DES13X3alnb 02:28:44.39 -05:08:32.47 56683.0 -1.0 "" ""
DES16C3auv 03:27:36.51 -27:35:27.33 57645.0 -1.0 "" ""
