date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Apr 10,2458218.9285,r,99.0,99.0,99.0,19.92,P48+ZTF,None,SDSS,True,True,None
2018 Apr 11,2458219.9224,r,99.0,99.0,99.0,19.83,P48+ZTF,None,SDSS,True,True,None
2018 Jun 13,2458282.6720,i,99.0,99.0,99.0,19.59,P48+ZTF,None,SDSS,True,True,None
2018 Jun 16,2458285.9409,o,-19.13,14.76,0.10,19.00,EFT+Photometrizer,None,None,False,True,None
2018 Jun 17,2458286.6953,i,-19.57,14.32,0.01,18.78,P48+ZTF,None,SDSS,True,True,None
2018 Jun 18,2458287.6500,g,-20.47,13.42,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 18,2458287.6500,H,-18.75,15.14,0.02,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 18,2458287.6500,i,-19.75,14.14,0.03,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 18,2458287.6500,J,-19.17,14.72,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 18,2458287.6500,r,-20.00,13.89,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 18,2458287.6500,z,-19.56,14.33,0.03,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,g,-20.24,13.65,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,H,-18.49,15.40,0.02,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,i,-19.41,14.48,0.03,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,J,-18.84,15.05,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,r,-19.75,14.14,0.01,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 19,2458288.7019,z,-19.22,14.67,0.03,23.00,MPI_ESO-2.2m+GROND,None,None,False,True,None
2018 Jun 20,2458289.5226,u,-20.04,13.85,0.20,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458289.5233,g,-19.73,14.16,0.05,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458289.5240,r,-19.56,14.33,0.03,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458289.5247,i,-19.10,14.79,0.03,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458289.5254,z,-18.89,15.00,0.03,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458289.6798,g,-19.49,14.40,0.20,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 20,2458289.6798,z,-19.39,14.50,0.20,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 20,2458289.6798,r,-19.69,14.20,0.10,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 20,2458289.6798,u,-19.99,13.90,0.30,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 20,2458289.9006,B,-19.60,14.29,0.06,20.00,KAIT+KAIT,None,None,False,True,None
2018 Jun 20,2458289.9006,i,-19.03,14.86,0.03,20.00,KAIT+KAIT,None,None,False,True,None
2018 Jun 20,2458289.9006,r,-19.43,14.46,0.03,20.00,KAIT+KAIT,None,None,False,True,None
2018 Jun 20,2458289.9006,V,-19.67,14.22,0.03,20.00,KAIT+KAIT,None,None,False,True,None
2018 Jun 20,2458290.1400,I,-19.31,14.58,0.04,18.00,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 20,2458290.1400,R,-19.39,14.50,0.03,18.00,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 20,2458290.1400,B,-19.46,14.43,0.02,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 20,2458290.1400,U,-20.15,13.73,0.05,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 20,2458290.1400,V,-19.45,14.44,0.02,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 20,2458290.4071,H,-18.28,15.61,0.02,18.00,LT+IOO,None,2MASS-AB,False,True,None
2018 Jun 20,2458290.4130,z,-18.77,15.12,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458290.4136,i,-18.90,14.99,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458290.4142,r,-19.29,14.60,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458290.4147,g,-19.36,14.53,0.03,22.00,LT+IOO,None,None,False,True,None
2018 Jun 20,2458290.4153,u,-19.59,14.30,0.10,22.00,LT+IOO,None,None,False,True,None
2018 Jun 21,2458290.7181,g,-19.28,14.61,0.16,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 21,2458290.7181,z,-19.21,14.68,0.11,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 21,2458290.7181,r,-19.31,14.58,0.04,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 21,2458290.7181,u,-19.71,14.18,0.09,20.00,KPED+KPED,None,None,False,True,None
2018 Jun 21,2458290.9202,J,-18.03,15.86,0.11,20.00,P200+WIRC,None,None,False,True,None
2018 Jun 21,2458290.9345,K,-17.63,16.26,0.10,20.00,P200+WIRC,None,None,False,True,None
2018 Jun 21,2458291.1495,i,-19.17,14.72,0.03,17.00,Akeno+MITSuME,46,UCAC-4,False,True,None
2018 Jun 21,2458291.1502,g,-19.17,14.72,0.03,18.20,Akeno+MITSuME,46,UCAC-4,False,True,None
2018 Jun 21,2458291.1502,g,-19.17,14.72,0.03,18.20,Akeno+MITSuME,46,UCAC-4,False,True,None
2018 Jun 21,2458291.1521,r,-19.13,14.76,0.03,17.20,Akeno+MITSuME,46,UCAC-4,False,True,None
2018 Jun 21,2458291.1600,I,-19.02,14.87,0.04,18.00,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 21,2458291.1600,R,-19.02,14.87,0.03,18.00,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 21,2458291.1600,B,-18.98,14.91,0.02,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 21,2458291.1600,U,-19.73,14.15,0.07,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 21,2458291.1600,V,-19.01,14.88,0.02,18.50,HCT+HCT Spectograph,None,Landolt,False,True,None
2018 Jun 21,2458291.3944,H,-17.72,16.17,0.03,19.00,LT+IOO,None,2MASS-AB,False,True,None
2018 Jun 21,2458291.4012,z,-18.45,15.44,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 21,2458291.4018,i,-18.57,15.32,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 21,2458291.4024,r,-18.87,15.02,0.02,22.00,LT+IOO,None,None,False,True,None
2018 Jun 21,2458291.4029,g,-18.91,14.98,0.02,22.00,LT+IOO,None,None,False,True,None
