date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Mar 22,2458199.8176,r,99.0,99.0,99.0,19.52,P48+ZTF,2,None,True,True,None
2018 Mar 22,2458199.8424,r,99.0,99.0,99.0,18.72,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.7368,r,99.0,99.0,99.0,19.75,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.7679,r,99.0,99.0,99.0,20.25,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.7901,r,99.0,99.0,99.0,20.02,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.7971,r,99.0,99.0,99.0,19.42,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.8334,r,99.0,99.0,99.0,20.32,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.8371,r,99.0,99.0,99.0,20.26,P48+ZTF,2,None,True,True,None
2018 Apr 11,2458219.8560,r,99.0,99.0,99.0,20.39,P48+ZTF,2,None,True,True,None
2018 Apr 13,2458221.7648,r,99.0,99.0,99.0,19.59,P48+ZTF,2,None,True,True,None
2018 Apr 13,2458221.7755,r,99.0,99.0,99.0,19.82,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.7675,r,99.0,99.0,99.0,20.14,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.7883,r,99.0,99.0,99.0,20.12,P48+ZTF,1,None,True,True,None
2018 Apr 14,2458222.7916,r,99.0,99.0,99.0,20.06,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.7972,r,99.0,99.0,99.0,20.14,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.7982,r,99.0,99.0,99.0,20.24,P48+ZTF,1,None,True,True,None
2018 Apr 14,2458222.8287,r,99.0,99.0,99.0,20.31,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.8344,r,99.0,99.0,99.0,20.32,P48+ZTF,2,None,True,True,None
2018 Apr 14,2458222.8548,r,99.0,99.0,99.0,20.38,P48+ZTF,2,None,True,True,None
2018 Apr 16,2458224.7699,r,99.0,99.0,99.0,20.16,P48+ZTF,2,None,True,True,None
2018 Apr 16,2458224.7732,r,99.0,99.0,99.0,20.17,P48+ZTF,2,None,True,True,None
2018 Apr 16,2458224.7960,r,99.0,99.0,99.0,20.04,P48+ZTF,2,None,True,True,None
2018 Apr 16,2458224.8151,r,99.0,99.0,99.0,19.40,P48+ZTF,2,None,True,True,None
2018 Apr 16,2458224.8369,r,99.0,99.0,99.0,17.95,P48+ZTF,2,None,True,True,None
2018 Apr 18,2458226.7696,r,99.0,99.0,99.0,20.46,P48+ZTF,2,None,True,True,None
2018 Apr 18,2458226.7846,r,99.0,99.0,99.0,20.51,P48+ZTF,2,None,True,True,None
2018 Apr 18,2458226.7869,r,99.0,99.0,99.0,20.53,P48+ZTF,1,None,True,True,None
2018 Apr 18,2458226.8084,r,99.0,99.0,99.0,20.62,P48+ZTF,2,None,True,True,None
2018 Apr 18,2458226.8305,r,99.0,99.0,99.0,20.59,P48+ZTF,2,None,True,True,None
2018 Apr 18,2458226.8528,r,99.0,99.0,99.0,20.54,P48+ZTF,2,None,True,True,None
2018 Apr 19,2458227.7653,r,99.0,99.0,99.0,19.98,P48+ZTF,2,None,True,True,None
2018 Apr 19,2458227.7769,r,99.0,99.0,99.0,20.30,P48+ZTF,2,None,True,True,None
2018 Apr 21,2458229.8644,r,99.0,99.0,99.0,20.65,P48+ZTF,2,None,True,True,None
