date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 21,2458351.9471,g,99.0,99.0,21.08,P48+ZTF,3,None,True,True,None
2018 Aug 22,2458352.9409,g,99.0,99.0,21.07,P48+ZTF,1,None,True,True,None
2018 Aug 22,2458352.9418,g,99.0,99.0,21.04,P48+ZTF,3,None,True,True,None
2018 Aug 24,2458354.9615,r,99.0,99.0,20.29,P48+ZTF,3,None,True,True,None
2018 Aug 24,2458354.9994,r,99.0,99.0,20.69,P48+ZTF,3,None,True,True,None
2018 Aug 25,2458355.9128,r,99.0,99.0,19.91,P48+ZTF,1,None,True,True,None
2018 Aug 25,2458355.9142,r,99.0,99.0,19.96,P48+ZTF,3,None,True,True,None
2018 Aug 26,2458356.9400,r,99.0,99.0,19.74,P48+ZTF,3,None,True,True,None
2018 Aug 26,2458356.9987,r,99.0,99.0,19.91,P48+ZTF,3,None,True,True,None
2018 Aug 27,2458357.9320,r,99.0,99.0,19.80,P48+ZTF,3,None,True,True,None
2018 Aug 27,2458358.0018,r,99.0,99.0,19.73,P48+ZTF,3,None,True,True,None
2018 Aug 28,2458358.9445,r,99.0,99.0,19.76,P48+ZTF,1,None,True,True,None
2018 Aug 28,2458358.9454,r,99.0,99.0,19.72,P48+ZTF,3,None,True,True,None
2018 Aug 29,2458359.9427,r,99.0,99.0,18.61,P48+ZTF,3,None,True,True,None
2018 Aug 29,2458359.9826,r,99.0,99.0,17.66,P48+ZTF,3,None,True,True,None
2018 Aug 30,2458360.9422,g,99.0,99.0,19.52,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9045,g,99.0,99.0,19.88,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9054,g,99.0,99.0,19.94,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9760,r,20.07,0.21,19.97,P48+ZTF,3,None,True,True,0.816667020321
2018 Sep 02,2458363.9769,r,20.27,0.23,19.85,P48+ZTF,1,None,True,True,None
2018 Sep 03,2458364.9274,g,99.0,99.0,20.35,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.9994,r,20.23,0.19,20.28,P48+ZTF,3,None,True,True,0.883333325386
2018 Sep 03,2458364.9994,r,20.23,0.19,20.28,P48+ZTF,3,None,True,True,0.883333325386
2018 Sep 04,2458365.9040,g,99.0,99.0,20.67,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9979,r,20.29,0.19,20.48,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.8639,r,99.0,99.0,20.35,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.8649,r,99.0,99.0,20.56,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9264,g,21.15,0.25,20.78,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9273,g,21.01,0.27,20.85,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.8931,r,20.28,0.19,20.72,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9295,g,21.10,0.25,20.91,P48+ZTF,3,None,True,True,0.769999980927
2018 Sep 07,2458368.9094,g,21.27,0.35,20.85,P48+ZTF,3,None,True,True,0.513333022594
2018 Sep 07,2458368.9313,r,20.23,0.15,20.49,P48+ZTF,3,None,True,True,0.810000002384
2018 Sep 08,2458369.9244,r,20.00,0.17,20.66,P48+ZTF,1,None,True,True,0.790000021458
2018 Sep 08,2458369.9327,r,19.98,0.13,20.63,P48+ZTF,3,None,True,True,0.893333315849
2018 Sep 08,2458369.9495,g,21.03,0.33,20.96,P48+ZTF,1,None,True,True,0.569999992847
2018 Sep 08,2458369.9505,g,99.0,99.0,20.92,P48+ZTF,3,None,True,True,None
2018 Sep 09,2458370.9220,r,20.16,0.16,20.63,P48+ZTF,3,None,True,True,0.776666641235
2018 Sep 09,2458370.9534,g,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 10,2458371.8838,g,21.17,0.31,20.82,P48+ZTF,3,None,True,True,0.536666989326
2018 Sep 10,2458371.9433,r,20.37,0.20,20.68,P48+ZTF,3,None,True,True,0.810000002384
2018 Sep 10,2458371.9433,r,20.37,0.20,20.68,P48+ZTF,3,None,True,True,0.810000002384
2018 Sep 11,2458372.8893,r,20.23,0.15,20.54,P48+ZTF,1,None,True,True,0.810000002384
2018 Sep 11,2458372.8902,r,20.27,0.14,20.63,P48+ZTF,3,None,True,True,0.883333325386
2018 Sep 11,2458372.8902,r,20.27,0.14,20.63,P48+ZTF,3,None,True,True,0.883333325386
2018 Sep 11,2458372.9419,g,21.10,0.26,20.87,P48+ZTF,3,None,True,True,0.540000021458
2018 Sep 11,2458372.9428,g,21.01,0.27,20.95,P48+ZTF,1,None,True,True,0.506667017937
2018 Sep 12,2458373.9070,g,99.0,99.0,20.83,P48+ZTF,3,None,True,True,None
2018 Sep 12,2458373.9760,r,19.97,0.15,20.70,P48+ZTF,3,None,True,True,0.706666648388
2018 Sep 12,2458373.9760,r,19.97,0.15,20.70,P48+ZTF,3,None,True,True,0.706666648388
2018 Sep 13,2458374.8908,r,20.33,0.19,20.63,P48+ZTF,3,None,True,True,0.803333342075
2018 Sep 13,2458374.8908,r,20.33,0.19,20.63,P48+ZTF,3,None,True,True,0.803333342075
2018 Sep 13,2458374.9064,g,99.0,99.0,20.69,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.9105,r,20.38,0.16,20.52,P48+ZTF,1,None,True,True,0.866666674614
2018 Sep 14,2458375.9114,r,20.22,0.16,20.58,P48+ZTF,3,None,True,True,0.623332977295
2018 Sep 14,2458375.9303,g,21.09,0.29,20.93,P48+ZTF,1,None,True,True,0.606666982174
2018 Sep 14,2458375.9313,g,99.0,99.0,20.77,P48+ZTF,3,None,True,True,None
2018 Sep 15,2458376.9542,g,21.20,0.31,21.01,P48+ZTF,3,None,True,True,0.746667027473
2018 Sep 16,2458377.8892,g,99.0,99.0,20.87,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.9279,r,20.34,0.20,20.64,P48+ZTF,3,None,True,True,0.723333358765
2018 Sep 17,2458378.9308,r,99.0,99.0,20.67,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9317,r,20.30,0.19,20.61,P48+ZTF,1,None,True,True,0.756666660309
2018 Sep 17,2458378.9317,r,20.30,0.19,20.61,P48+ZTF,1,None,True,True,0.756666660309
2018 Sep 17,2458378.9482,g,21.24,0.30,20.94,P48+ZTF,3,None,True,True,0.576667010784
2018 Sep 17,2458378.9492,g,99.0,99.0,20.77,P48+ZTF,1,None,True,True,None
2018 Sep 18,2458379.9199,r,20.52,0.23,20.60,P48+ZTF,3,None,True,True,0.753332972527
2018 Sep 18,2458379.9426,g,99.0,99.0,20.76,P48+ZTF,3,None,True,True,None
2018 Sep 19,2458380.9232,r,20.77,0.20,20.74,P48+ZTF,3,None,True,True,0.786666691303
2018 Sep 21,2458382.9355,g,99.0,99.0,20.91,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.9364,g,99.0,99.0,20.97,P48+ZTF,3,None,True,True,None
2018 Sep 21,2458382.9857,r,20.75,0.22,20.60,P48+ZTF,1,None,True,True,0.773333311081
2018 Sep 21,2458382.9857,r,20.75,0.22,20.60,P48+ZTF,1,None,True,True,0.773333013058
2018 Sep 21,2458382.9867,r,20.60,0.21,20.72,P48+ZTF,3,None,True,True,0.623333334923
