date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 22,2458352.9409,g,99.0,99.0,99.0,21.08,P48+ZTF,1,None,True,True,None
2018 Aug 22,2458352.9418,g,99.0,99.0,99.0,21.02,P48+ZTF,3,None,True,True,None
2018 Aug 30,2458360.9422,g,99.0,99.0,99.0,19.60,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9045,g,99.0,99.0,99.0,19.62,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9054,g,99.0,99.0,99.0,19.75,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.9274,g,99.0,99.0,99.0,20.02,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9040,g,-18.00,19.97,0.19,20.71,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9264,g,-17.97,20.00,0.28,20.70,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9273,g,-18.17,19.80,0.17,20.75,P48+ZTF,1,None,True,True,0.573333323002
2018 Sep 05,2458366.9273,g,-18.17,19.80,0.17,20.75,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.9295,g,-18.28,19.70,0.15,20.97,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9094,g,-18.42,19.55,0.16,20.81,P48+ZTF,3,None,True,True,0.623333334923
2018 Sep 08,2458369.9495,g,-18.77,19.20,0.12,20.92,P48+ZTF,1,None,True,True,0.623333334923
2018 Sep 08,2458369.9505,g,-18.70,19.27,0.12,20.93,P48+ZTF,3,None,True,True,0.649999976158
2018 Sep 09,2458370.9534,g,-18.83,19.14,0.12,21.01,P48+ZTF,3,None,True,True,0.639999985695
2018 Sep 10,2458371.8838,g,-18.88,19.10,0.11,21.01,P48+ZTF,3,None,True,True,0.66333335638
2018 Sep 11,2458372.9419,g,-18.98,19.00,0.10,20.98,P48+ZTF,3,None,True,True,0.683333337307
2018 Sep 11,2458372.9428,g,-18.91,19.07,0.13,21.10,P48+ZTF,1,None,True,True,0.633333325386
2018 Sep 12,2458373.9070,g,-19.04,18.93,0.08,20.81,P48+ZTF,3,None,True,True,0.773333311081
2018 Sep 12,2458373.9760,r,-18.63,19.35,0.15,20.56,P48+ZTF,3,None,True,True,0.660000026226
2018 Sep 13,2458374.8908,r,-18.72,19.26,0.11,20.51,P48+ZTF,3,None,True,True,0.703333318233
2018 Sep 13,2458374.9064,g,-19.07,18.91,0.09,20.80,P48+ZTF,3,None,True,True,0.713333308697
2018 Sep 14,2458375.9105,r,-18.75,19.22,0.11,20.52,P48+ZTF,1,None,True,True,0.740000009537
2018 Sep 14,2458375.9114,r,-18.73,19.25,0.10,20.62,P48+ZTF,3,None,True,True,0.603333353996
2018 Sep 14,2458375.9303,g,-19.09,18.88,0.10,20.99,P48+ZTF,1,None,True,True,0.63666665554
2018 Sep 14,2458375.9313,g,-19.04,18.93,0.11,20.86,P48+ZTF,3,None,True,True,0.683333337307
2018 Sep 15,2458376.9542,g,-19.05,18.93,0.11,21.10,P48+ZTF,3,None,True,True,0.52999997139
2018 Sep 16,2458377.8892,g,-19.12,18.86,0.08,20.90,P48+ZTF,3,None,True,True,0.759999990463
2018 Sep 16,2458377.9279,r,-18.92,19.06,0.09,20.68,P48+ZTF,3,None,True,True,0.713333308697
2018 Sep 17,2458378.9308,r,-18.80,19.18,0.12,20.49,P48+ZTF,3,None,True,True,0.660000026226
2018 Sep 17,2458378.9317,r,-18.85,19.13,0.08,20.52,P48+ZTF,1,None,True,True,0.733333349228
2018 Sep 17,2458378.9482,g,-19.08,18.90,0.11,20.98,P48+ZTF,3,None,True,True,0.603333353996
2018 Sep 17,2458378.9492,g,-19.06,18.91,0.09,20.92,P48+ZTF,1,None,True,True,0.656666696072
2018 Sep 18,2458379.9199,r,-18.86,19.12,0.10,20.69,P48+ZTF,3,None,True,True,0.596666693687
2018 Sep 18,2458379.9426,g,-19.08,18.89,0.10,21.02,P48+ZTF,3,None,True,True,0.709999978542
2018 Sep 19,2458380.9232,r,-18.69,19.28,0.13,20.59,P48+ZTF,3,None,True,True,0.479999989271
2018 Sep 21,2458382.9355,g,-18.89,19.09,0.11,20.98,P48+ZTF,1,None,True,True,0.616666674614
2018 Sep 21,2458382.9364,g,-18.91,19.06,0.10,20.99,P48+ZTF,3,None,True,True,0.639999985695
2018 Sep 21,2458382.9857,r,-18.76,19.22,0.08,20.42,P48+ZTF,1,None,True,True,0.736666679382
2018 Sep 21,2458382.9867,r,-18.84,19.13,0.05,20.75,P48+ZTF,3,None,True,True,0.746666669846
2018 Sep 22,2458383.9017,r,-18.54,19.44,0.15,20.29,P48+ZTF,3,None,True,True,0.706666648388
2018 Sep 22,2458383.9794,g,-18.86,19.12,0.09,20.86,P48+ZTF,3,None,True,True,0.66333335638
2018 Sep 23,2458384.9996,g,-18.85,19.13,0.14,20.35,P48+ZTF,3,None,True,True,0.703333318233
2018 Sep 24,2458385.8231,r,-18.72,19.26,0.13,19.39,P48+ZTF,1,None,True,True,0.680000007153
2018 Sep 24,2458385.8964,g,-18.72,19.25,0.14,19.55,P48+ZTF,1,None,True,True,0.716666638851
2018 Sep 24,2458385.8975,g,-18.85,19.12,0.14,19.54,P48+ZTF,3,None,True,True,0.656666696072
2018 Sep 25,2458386.9007,r,-18.52,19.46,0.19,19.54,P48+ZTF,3,None,True,True,0.583333313465
2019 Jan 03,2458486.6204,r,-18.09,19.89,0.20,20.27,P48+ZTF,1,None,True,False,0.723333358765
2019 Feb 09,2458523.6668,r,-18.07,19.90,0.17,20.28,P48+ZTF,1,None,True,False,0.885714292526
2019 Feb 26,2458540.6146,r,-17.87,20.10,0.21,20.19,P48+ZTF,3,None,True,False,0.730000019073
2019 Jul 06,2458670.9748,r,-18.23,19.75,0.20,20.33,P48+ZTF,1,None,True,False,0.927142858505
