date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 21,2458351.9476,g,99.0,99.0,99.0,21.00,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9040,g,99.0,99.0,99.0,19.84,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9144,g,-17.05,20.38,0.21,20.73,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9144,g,-17.05,20.38,0.21,20.73,P48+ZTF,1,None,True,True,0.670000016689
2018 Sep 05,2458366.9522,g,99.0,99.0,99.0,20.81,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.9533,g,-17.48,19.96,0.15,21.02,P48+ZTF,1,None,True,True,None
2018 Sep 08,2458369.9756,g,-18.15,19.28,0.09,20.95,P48+ZTF,1,None,True,True,0.793333351612
2018 Sep 08,2458369.9756,g,-18.15,19.28,0.09,20.95,P48+ZTF,1,None,True,True,0.793332993984
2018 Sep 11,2458372.9206,g,-18.74,18.69,0.06,20.91,P48+ZTF,1,None,True,True,0.823333323002
2018 Sep 12,2458373.7423,r,-18.77,18.66,0.05,99.0,P60+SEDM,None,SDSS,True,True,None
2018 Sep 14,2458375.9336,g,-19.03,18.40,0.06,20.92,P48+ZTF,1,None,True,True,0.833333313465
2018 Sep 17,2458378.9528,g,-19.16,18.27,0.06,20.90,P48+ZTF,1,None,True,True,0.816666662693
2018 Sep 17,2458378.9528,g,-19.16,18.27,0.06,20.90,P48+ZTF,1,None,True,True,0.816667020321
2018 Sep 21,2458382.9331,g,-19.15,18.28,0.06,20.92,P48+ZTF,1,None,True,True,0.846666991711
2018 Sep 21,2458382.9331,g,-19.15,18.28,0.06,20.92,P48+ZTF,1,None,True,True,0.846666693687
2018 Sep 24,2458385.8911,g,-18.98,18.45,0.11,19.34,P48+ZTF,1,None,True,True,0.649999976158
2018 Sep 24,2458385.8911,g,-18.98,18.45,0.11,19.34,P48+ZTF,1,None,True,True,0.649999976158
2018 Sep 29,2458390.8775,g,-18.88,18.55,0.09,19.86,P48+ZTF,1,None,True,True,0.763333320618
2018 Sep 29,2458390.8775,g,-18.88,18.55,0.09,19.86,P48+ZTF,1,None,True,True,0.763333320618
2018 Oct 06,2458397.8739,g,-18.05,19.38,0.10,20.94,P48+ZTF,1,None,True,True,0.75
2018 Nov 03,2458425.8409,g,99.0,99.0,99.0,20.75,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7184,g,99.0,99.0,99.0,20.60,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.7393,g,99.0,99.0,99.0,20.00,P48+ZTF,1,None,True,True,None
2018 Nov 12,2458434.7666,g,99.0,99.0,99.0,20.35,P48+ZTF,1,None,True,True,None
2018 Nov 15,2458437.7461,g,99.0,99.0,99.0,20.28,P48+ZTF,1,None,True,True,None
