date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 19,2458349.9547,g,99.0,99.0,21.03,P48+ZTF,1,None,True,True,None
2018 Aug 19,2458349.9556,g,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Aug 21,2458351.9471,g,99.0,99.0,20.99,P48+ZTF,3,None,True,True,None
2018 Aug 22,2458352.9409,g,99.0,99.0,21.03,P48+ZTF,1,None,True,True,None
2018 Aug 22,2458352.9418,g,99.0,99.0,21.01,P48+ZTF,3,None,True,True,None
2018 Aug 30,2458360.9422,g,99.0,99.0,19.54,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9045,g,20.12,0.34,19.70,P48+ZTF,1,None,True,True,None
2018 Sep 03,2458364.9274,g,99.0,99.0,20.12,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9040,g,99.0,99.0,20.72,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9264,g,20.70,0.28,20.71,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9295,g,20.10,0.19,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9094,g,19.99,0.19,20.83,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9495,g,20.35,0.22,20.89,P48+ZTF,1,None,True,True,0.756667017937
2018 Sep 08,2458369.9505,g,20.16,0.20,20.96,P48+ZTF,3,None,True,True,0.726666986942
2018 Sep 09,2458370.9534,g,99.0,99.0,20.96,P48+ZTF,3,None,True,True,None
2018 Sep 10,2458371.8838,g,99.0,99.0,20.99,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.8893,r,99.0,99.0,20.60,P48+ZTF,1,None,True,True,None
2018 Sep 11,2458372.8902,r,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.9419,g,99.0,99.0,21.00,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.9428,g,20.58,0.21,21.05,P48+ZTF,1,None,True,True,0.829999983311
2018 Sep 12,2458373.9070,g,20.70,0.25,20.88,P48+ZTF,3,None,True,True,0.829999983311
2018 Sep 12,2458373.9760,r,99.0,99.0,20.68,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.8908,r,99.0,99.0,20.65,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.9064,g,20.64,0.28,20.85,P48+ZTF,3,None,True,True,0.800000011921
2018 Sep 14,2458375.9105,r,19.66,0.13,20.60,P48+ZTF,1,None,True,True,0.876666665077
2018 Sep 14,2458375.9114,r,19.70,0.12,20.68,P48+ZTF,3,None,True,True,0.843333005905
2018 Sep 14,2458375.9303,g,19.67,0.13,20.96,P48+ZTF,1,None,True,True,0.80666667223
2018 Sep 14,2458375.9313,g,19.62,0.14,20.87,P48+ZTF,3,None,True,True,0.7333329916
2018 Sep 15,2458376.9542,g,20.73,0.20,21.05,P48+ZTF,3,None,True,True,0.796666681767
2018 Sep 16,2458377.8892,g,99.0,99.0,20.88,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.9279,r,99.0,99.0,20.73,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9308,r,20.56,0.21,20.66,P48+ZTF,3,None,True,True,0.759999990463
2018 Sep 17,2458378.9317,r,20.33,0.20,20.65,P48+ZTF,1,None,True,True,0.796666681767
2018 Sep 17,2458378.9482,g,20.01,0.19,20.94,P48+ZTF,3,None,True,True,0.803333342075
2018 Sep 17,2458378.9492,g,20.15,0.17,20.92,P48+ZTF,1,None,True,True,0.743332982063
2018 Sep 18,2458379.9199,r,99.0,99.0,20.73,P48+ZTF,3,None,True,True,None
2018 Sep 18,2458379.9426,g,20.27,0.21,20.97,P48+ZTF,3,None,True,True,0.786666691303
2018 Sep 21,2458382.9355,g,20.54,0.25,20.98,P48+ZTF,1,None,True,True,0.75
2018 Sep 21,2458382.9857,r,99.0,99.0,20.62,P48+ZTF,1,None,True,True,None
2018 Sep 24,2458385.8231,r,99.0,99.0,19.59,P48+ZTF,1,None,True,True,None
2018 Sep 24,2458385.8964,g,99.0,99.0,19.60,P48+ZTF,1,None,True,True,None
2018 Oct 06,2458397.8725,g,20.47,0.21,20.93,P48+ZTF,1,None,True,True,0.673333346844
2018 Dec 09,2458461.7616,r,99.0,99.0,20.58,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.7549,r,99.0,99.0,20.45,P48+ZTF,1,None,True,True,None
2018 Dec 24,2458476.7977,r,99.0,99.0,19.81,P48+ZTF,1,None,True,True,None
2018 Dec 28,2458480.7684,g,99.0,99.0,19.95,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.5958,r,99.0,99.0,20.50,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.6151,g,99.0,99.0,20.53,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.6155,g,99.0,99.0,20.53,P48+ZTF,1,None,True,True,None
2019 Jan 03,2458486.6204,r,20.66,0.23,20.46,P48+ZTF,1,None,True,False,0.77999997139
2019 Jan 07,2458490.6212,g,99.0,99.0,20.43,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6643,r,19.91,0.17,20.53,P48+ZTF,1,None,True,False,0.746667027473
2019 Jan 10,2458493.6305,r,20.08,0.18,20.26,P48+ZTF,1,None,True,False,0.792857170105
