date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Sep 06,2458367.9295,g,18.84,0.08,20.98,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9094,g,18.84,0.10,20.91,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9495,g,19.03,0.09,20.99,P48+ZTF,1,None,True,True,0.689999997616
2018 Sep 08,2458369.9505,g,18.94,0.09,20.95,P48+ZTF,3,None,True,True,0.713333010674
2018 Sep 09,2458370.9534,g,19.17,0.13,20.90,P48+ZTF,3,None,True,True,0.686666667461
2018 Sep 10,2458371.8838,g,19.33,0.10,21.03,P48+ZTF,3,None,True,True,0.746666669846
2018 Sep 11,2458372.9419,g,19.47,0.10,21.07,P48+ZTF,3,None,True,True,0.736666977406
2018 Sep 11,2458372.9428,g,19.35,0.11,21.04,P48+ZTF,1,None,True,True,0.683332979679
2018 Sep 12,2458373.9070,g,19.98,0.15,20.92,P48+ZTF,3,None,True,True,0.660000026226
2018 Sep 13,2458374.9064,g,20.35,0.19,20.89,P48+ZTF,3,None,True,True,0.783333003521
2018 Sep 14,2458375.9303,g,99.0,99.0,20.99,P48+ZTF,1,None,True,True,None
2018 Sep 14,2458375.9313,g,99.0,99.0,20.89,P48+ZTF,3,None,True,True,None
2018 Sep 15,2458376.9542,g,99.0,99.0,21.12,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.8892,g,99.0,99.0,21.00,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.9279,r,99.0,99.0,20.76,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9308,r,99.0,99.0,20.81,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9317,r,99.0,99.0,20.74,P48+ZTF,1,None,True,True,None
2018 Sep 17,2458378.9482,g,99.0,99.0,20.98,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9492,g,99.0,99.0,20.94,P48+ZTF,1,None,True,True,None
2018 Sep 18,2458379.9199,r,99.0,99.0,20.79,P48+ZTF,3,None,True,True,None
2018 Sep 18,2458379.9426,g,99.0,99.0,21.02,P48+ZTF,3,None,True,True,None
2018 Sep 19,2458380.9232,r,99.0,99.0,20.47,P48+ZTF,3,None,True,True,None
2018 Sep 21,2458382.9355,g,19.92,0.15,20.98,P48+ZTF,1,None,True,False,0.743332982063
2018 Sep 21,2458382.9364,g,20.04,0.18,20.98,P48+ZTF,3,None,True,False,0.633333027363
2018 Sep 21,2458382.9857,r,99.0,99.0,20.73,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.9867,r,99.0,99.0,20.79,P48+ZTF,3,None,True,True,None
2018 Sep 22,2458383.9017,r,99.0,99.0,20.25,P48+ZTF,3,None,True,True,None
2018 Sep 22,2458383.9794,g,20.00,0.19,20.70,P48+ZTF,3,None,True,False,0.753332972527
2018 Sep 23,2458384.9996,g,19.90,0.17,20.35,P48+ZTF,3,None,True,False,0.856666684151
2018 Sep 24,2458385.8231,r,99.0,99.0,19.57,P48+ZTF,1,None,True,True,None
2018 Sep 24,2458385.8964,g,19.61,0.20,19.63,P48+ZTF,1,None,True,False,0.763333022594
2018 Oct 06,2458397.8725,g,19.25,0.10,20.93,P48+ZTF,1,None,True,False,0.753332972527
2018 Oct 06,2458397.9033,r,19.43,0.12,20.80,P48+ZTF,1,None,True,False,0.713333308697
2018 Nov 03,2458425.7346,r,99.0,99.0,17.02,P48+ZTF,1,None,True,True,None
2018 Nov 03,2458425.8587,g,19.24,0.12,20.82,P48+ZTF,1,None,True,False,0.573333024979
2018 Nov 06,2458428.7188,g,19.06,0.11,20.67,P48+ZTF,1,None,True,False,0.670000016689
2018 Nov 06,2458428.7547,r,18.43,0.07,20.47,P48+ZTF,1,None,True,False,0.836667001247
2018 Nov 09,2458431.7397,g,19.14,0.15,20.02,P48+ZTF,1,None,True,False,0.673332989216
2018 Nov 09,2458431.7748,r,18.91,0.14,19.72,P48+ZTF,1,None,True,False,0.693333029747
2018 Nov 12,2458434.7807,g,18.82,0.10,20.41,P48+ZTF,1,None,True,False,0.77999997139
2018 Nov 12,2458434.8080,r,18.32,0.06,20.08,P48+ZTF,1,None,True,False,0.810000002384
2018 Nov 15,2458437.7451,g,18.93,0.10,20.35,P48+ZTF,1,None,True,False,0.763333022594
2018 Nov 15,2458437.7967,r,18.33,0.09,20.34,P48+ZTF,1,None,True,False,0.736666679382
2018 Nov 19,2458441.7563,g,18.95,0.12,19.87,P48+ZTF,1,None,True,False,0.823333024979
2018 Nov 19,2458441.8039,r,18.42,0.08,19.37,P48+ZTF,1,None,True,False,0.769999980927
2018 Nov 25,2458447.8505,r,18.36,0.09,19.48,P48+ZTF,1,None,True,False,0.839999973774
2018 Dec 03,2458455.8055,r,18.19,0.07,20.12,P48+ZTF,1,None,True,False,0.786666691303
2018 Dec 04,2458456.7003,r,18.34,0.07,20.35,P48+ZTF,1,None,True,False,0.846666693687
2018 Dec 05,2458457.6811,r,18.68,0.12,19.59,P48+ZTF,1,None,True,False,0.686666667461
2018 Dec 09,2458461.7616,r,18.35,0.06,20.45,P48+ZTF,1,None,True,False,0.839999973774
2018 Dec 12,2458464.7549,r,18.36,0.07,20.37,P48+ZTF,1,None,True,False,0.846666991711
2018 Dec 24,2458476.7977,r,18.37,0.08,19.71,P48+ZTF,1,None,True,False,0.813333332539
2018 Dec 28,2458480.7684,g,18.78,0.13,19.94,P48+ZTF,1,None,True,False,0.676666975021
2018 Dec 31,2458483.5958,r,18.40,0.08,20.39,P48+ZTF,1,None,True,False,0.75
2018 Dec 31,2458483.6151,g,18.94,0.09,20.62,P48+ZTF,1,None,True,False,0.753332972527
2018 Dec 31,2458483.6155,g,18.88,0.08,20.59,P48+ZTF,1,None,True,False,0.783333003521
2019 Jan 03,2458486.6204,r,18.21,0.07,20.44,P48+ZTF,1,None,True,False,0.826666653156
2019 Jan 07,2458490.6212,g,18.98,0.10,20.50,P48+ZTF,1,None,True,False,0.769999980927
2019 Jan 07,2458490.6643,r,18.29,0.07,20.54,P48+ZTF,1,None,True,False,0.813333332539
2019 Jan 10,2458493.6305,r,18.18,0.06,20.22,P48+ZTF,1,None,True,False,0.765713989735
2019 Jan 10,2458493.6943,g,18.86,0.08,20.66,P48+ZTF,1,None,True,False,0.792856991291
2019 Jan 12,2458495.7065,g,99.0,99.0,16.78,P48+ZTF,1,None,True,True,None
2019 Jan 20,2458503.7017,g,18.94,0.16,19.23,P48+ZTF,1,None,True,False,0.745714306831
2019 Jan 24,2458507.6635,g,18.77,0.07,20.55,P48+ZTF,1,None,True,False,0.860000014305
2019 Jan 27,2458510.6137,r,18.17,0.07,20.30,P48+ZTF,1,None,True,False,0.709999978542
2019 Jan 27,2458510.6709,g,18.94,0.16,19.26,P48+ZTF,1,None,True,False,0.592857003212
2019 Jan 31,2458514.6730,g,18.70,0.11,20.34,P48+ZTF,1,None,True,False,0.730000019073
2019 Feb 08,2458522.6458,g,18.64,0.08,20.18,P48+ZTF,3,None,True,False,0.782857000828
2019 Feb 09,2458523.6532,r,18.29,0.06,20.37,P48+ZTF,3,None,True,False,0.78714299202
2019 Feb 09,2458523.6668,r,18.23,0.07,20.32,P48+ZTF,1,None,True,False,0.778571009636
2019 Feb 20,2458534.6296,g,18.93,0.16,19.06,P48+ZTF,3,None,True,False,0.688570976257
2019 Feb 20,2458534.6305,g,18.80,0.17,19.13,P48+ZTF,1,None,True,False,0.682856976986
2019 Feb 25,2458539.6316,g,18.76,0.08,20.29,P48+ZTF,3,None,True,False,0.857142984867
2019 Feb 25,2458539.6325,g,18.89,0.08,20.31,P48+ZTF,1,None,True,False,0.807142853737
2019 Feb 26,2458540.6146,r,18.21,0.07,20.22,P48+ZTF,3,None,True,False,0.6828571558
2019 Mar 15,2458557.6236,r,18.21,0.09,19.12,P48+ZTF,1,None,True,False,0.704285740852
2019 Jul 03,2458667.9481,g,18.84,0.08,20.41,P48+ZTF,1,None,True,False,0.961428999901
2019 Jul 03,2458667.9850,r,18.20,0.07,19.38,P48+ZTF,1,None,True,False,0.961428999901
2019 Jul 06,2458670.9506,g,18.78,0.09,20.61,P48+ZTF,1,None,True,False,0.958571016788
2019 Jul 06,2458670.9748,r,18.29,0.08,20.46,P48+ZTF,1,None,True,False,0.948571026325
2019 Jul 09,2458673.9701,g,18.78,0.09,20.54,P48+ZTF,1,None,True,False,0.964285731316
