date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Sep 05,2458366.8747,r,99.0,99.0,99.0,20.20,P48+ZTF,1,None,True,True,None
2018 Sep 08,2458369.8760,r,99.0,99.0,99.0,20.36,P48+ZTF,1,None,True,True,None
2018 Sep 11,2458372.8554,r,99.0,99.0,99.0,20.13,P48+ZTF,1,None,True,True,None
2018 Sep 11,2458372.8973,g,-18.28,20.10,0.22,20.26,P48+ZTF,1,None,True,True,None
2018 Sep 14,2458375.8528,r,99.0,99.0,99.0,20.13,P48+ZTF,1,None,True,True,None
2018 Sep 14,2458375.9183,g,-18.63,19.74,0.19,20.09,P48+ZTF,1,None,True,True,0.77999997139
2018 Sep 14,2458375.9183,g,-18.63,19.74,0.19,20.09,P48+ZTF,1,None,True,True,0.77999997139
2018 Sep 17,2458378.8342,g,-19.14,19.23,0.11,20.28,P48+ZTF,1,None,True,True,None
2018 Sep 17,2458378.8814,r,-19.09,19.28,0.11,20.31,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.8547,r,99.0,99.0,99.0,19.52,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.8781,g,-19.42,18.96,0.17,19.51,P48+ZTF,1,None,True,True,0.803333342075
2018 Sep 21,2458382.8781,g,-19.42,18.96,0.17,19.51,P48+ZTF,1,None,True,True,0.803333342075
2018 Sep 24,2458385.7928,r,99.0,99.0,99.0,18.75,P48+ZTF,1,None,True,True,None
2018 Sep 24,2458385.8352,g,99.0,99.0,99.0,18.56,P48+ZTF,1,None,True,True,None
2018 Sep 27,2458388.8267,g,-19.10,19.27,0.20,19.14,P48+ZTF,1,None,True,True,0.756666660309
2018 Oct 06,2458397.7824,r,99.0,99.0,99.0,20.02,P48+ZTF,1,None,True,True,None
2018 Oct 06,2458397.8352,g,-18.73,19.64,0.16,20.28,P48+ZTF,1,None,True,True,0.83666664362
