date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 25,2458355.8791,r,99.0,99.0,99.0,17.12,P48+ZTF,3,None,True,True,None
2018 Aug 25,2458355.9963,r,99.0,99.0,99.0,20.15,P48+ZTF,3,None,True,True,None
2018 Aug 26,2458356.9321,r,99.0,99.0,99.0,19.69,P48+ZTF,3,None,True,True,None
2018 Aug 26,2458356.9964,r,99.0,99.0,99.0,19.85,P48+ZTF,3,None,True,True,None
2018 Aug 27,2458357.9234,r,99.0,99.0,99.0,19.76,P48+ZTF,3,None,True,True,None
2018 Aug 27,2458357.9325,r,99.0,99.0,99.0,19.85,P48+ZTF,1,None,True,True,None
2018 Aug 27,2458357.9848,r,99.0,99.0,99.0,19.69,P48+ZTF,3,None,True,True,None
2018 Aug 27,2458358.0032,r,99.0,99.0,99.0,19.69,P48+ZTF,1,None,True,True,None
2018 Aug 28,2458358.9284,r,99.0,99.0,99.0,19.40,P48+ZTF,3,None,True,True,None
2018 Aug 29,2458359.9418,r,99.0,99.0,99.0,18.20,P48+ZTF,3,None,True,True,None
2018 Aug 29,2458359.9835,r,99.0,99.0,99.0,18.26,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9646,r,99.0,99.0,99.0,20.03,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9655,r,99.0,99.0,99.0,20.02,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.8841,r,99.0,99.0,99.0,20.22,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.9134,g,99.0,99.0,99.0,20.40,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.8893,r,99.0,99.0,99.0,20.45,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9044,g,99.0,99.0,99.0,20.75,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.8793,r,99.0,99.0,99.0,20.55,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.8838,r,99.0,99.0,99.0,20.66,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9135,g,99.0,99.0,99.0,20.77,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9144,g,99.0,99.0,99.0,20.77,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9522,g,99.0,99.0,99.0,20.94,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.8806,r,99.0,99.0,99.0,20.61,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9061,g,99.0,99.0,99.0,20.92,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9533,g,99.0,99.0,99.0,20.80,P48+ZTF,1,None,True,True,None
2018 Sep 07,2458368.9089,g,99.0,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9318,r,99.0,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9031,r,99.0,99.0,99.0,20.59,P48+ZTF,1,None,True,True,None
2018 Sep 08,2458369.9040,r,99.0,99.0,99.0,20.66,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9747,g,99.0,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9756,g,99.0,99.0,99.0,20.97,P48+ZTF,1,None,True,True,None
2018 Sep 09,2458370.8882,g,99.0,99.0,99.0,20.80,P48+ZTF,3,None,True,True,None
2018 Sep 09,2458370.9210,r,99.0,99.0,99.0,20.72,P48+ZTF,3,None,True,True,None
2018 Sep 10,2458371.8833,g,99.0,99.0,99.0,20.81,P48+ZTF,3,None,True,True,None
2018 Sep 10,2458371.9359,r,99.0,99.0,99.0,20.79,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.8898,r,99.0,99.0,99.0,20.71,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.8907,r,99.0,99.0,99.0,20.61,P48+ZTF,1,None,True,True,None
2018 Sep 11,2458372.9197,g,99.0,99.0,99.0,20.90,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.9206,g,99.0,99.0,99.0,20.74,P48+ZTF,1,None,True,True,None
2018 Sep 12,2458373.9075,g,-21.00,19.73,0.16,20.75,P48+ZTF,3,None,True,True,None
2018 Sep 12,2458373.9476,r,-20.51,20.22,0.20,20.55,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.8913,r,-20.69,20.04,0.14,20.58,P48+ZTF,3,None,True,True,0.843333303928
2018 Sep 13,2458374.9059,g,-21.18,19.55,0.10,20.68,P48+ZTF,3,None,True,True,0.603333353996
2018 Sep 14,2458375.8712,r,-20.78,19.94,0.11,20.60,P48+ZTF,3,None,True,True,0.730000019073
2018 Sep 14,2458375.8721,r,-20.67,20.05,0.13,20.64,P48+ZTF,1,None,True,True,0.713333308697
2018 Sep 14,2458375.9326,g,-21.07,19.66,0.11,20.88,P48+ZTF,3,None,True,True,0.643333315849
2018 Sep 14,2458375.9336,g,-21.02,19.71,0.11,20.89,P48+ZTF,1,None,True,True,0.696666657925
2018 Sep 15,2458376.9193,r,-20.57,20.16,0.14,20.84,P48+ZTF,3,None,True,True,0.576666653156
2018 Sep 15,2458376.9430,g,-20.92,19.81,0.11,20.78,P48+ZTF,3,None,True,True,0.699999988079
