date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Aug 21,2458351.9476,g,99.0,99.0,21.12,P48+ZTF,1,None,True,True,None
2018 Aug 21,2458351.9485,g,99.0,99.0,21.05,P48+ZTF,3,None,True,True,None
2018 Aug 22,2458352.9314,g,99.0,99.0,20.93,P48+ZTF,3,None,True,True,None
2018 Sep 01,2458362.9721,g,99.0,99.0,19.89,P48+ZTF,1,None,True,True,None
2018 Sep 01,2458362.9730,g,99.0,99.0,19.90,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.8784,g,99.0,99.0,19.70,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9040,g,99.0,99.0,20.04,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9050,g,99.0,99.0,20.10,P48+ZTF,3,None,True,True,None
2018 Sep 02,2458363.9687,r,99.0,99.0,20.14,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.8846,r,99.0,99.0,20.27,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.9134,g,99.0,99.0,20.43,P48+ZTF,3,None,True,True,None
2018 Sep 03,2458364.9139,g,99.0,99.0,19.99,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.8879,r,99.0,99.0,20.56,P48+ZTF,1,None,True,True,None
2018 Sep 04,2458365.8888,r,99.0,99.0,20.61,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9044,g,99.0,99.0,20.70,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9058,g,99.0,99.0,20.57,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9067,g,99.0,99.0,20.50,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.8654,r,99.0,99.0,20.41,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.8793,r,99.0,99.0,20.48,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.8838,r,99.0,99.0,20.67,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9135,g,99.0,99.0,20.69,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9140,g,99.0,99.0,20.67,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9144,g,99.0,99.0,20.74,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9522,g,99.0,99.0,20.84,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9536,g,99.0,99.0,20.86,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.8802,r,99.0,99.0,20.65,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.8806,r,99.0,99.0,20.70,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9052,g,99.0,99.0,20.93,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9061,g,99.0,99.0,21.04,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9533,g,99.0,99.0,21.00,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.9547,g,99.0,99.0,20.90,P48+ZTF,1,None,True,True,None
2018 Sep 07,2458368.8805,g,99.0,99.0,20.92,P48+ZTF,1,None,True,True,None
2018 Sep 07,2458368.8815,g,99.0,99.0,20.96,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9089,g,99.0,99.0,20.97,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9318,r,99.0,99.0,20.66,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9341,r,99.0,99.0,20.71,P48+ZTF,3,None,True,True,None
2018 Sep 07,2458368.9350,r,99.0,99.0,20.75,P48+ZTF,1,None,True,True,None
2018 Sep 08,2458369.9027,r,99.0,99.0,20.69,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9031,r,99.0,99.0,20.55,P48+ZTF,1,None,True,True,None
2018 Sep 08,2458369.9040,r,99.0,99.0,20.70,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9429,g,99.0,99.0,20.74,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9747,g,99.0,99.0,20.70,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9756,g,99.0,99.0,20.93,P48+ZTF,1,None,True,True,None
2018 Sep 09,2458370.8882,g,99.0,99.0,20.81,P48+ZTF,3,None,True,True,None
