date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Sep 02,2458363.9040,g,99.0,99.0,19.94,P48+ZTF,1,None,True,True,None
2018 Sep 02,2458363.9050,g,99.0,99.0,19.99,P48+ZTF,3,None,True,True,None
2018 Sep 04,2458365.9044,g,99.0,99.0,20.73,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9135,g,99.0,99.0,20.64,P48+ZTF,3,None,True,True,None
2018 Sep 05,2458366.9144,g,99.0,99.0,20.72,P48+ZTF,1,None,True,True,None
2018 Sep 05,2458366.9522,g,99.0,99.0,20.85,P48+ZTF,1,None,True,True,None
2018 Sep 06,2458367.9061,g,99.0,99.0,21.04,P48+ZTF,3,None,True,True,None
2018 Sep 06,2458367.9533,g,99.0,99.0,21.04,P48+ZTF,1,None,True,True,None
2018 Sep 07,2458368.9089,g,99.0,99.0,20.98,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9747,g,99.0,99.0,20.95,P48+ZTF,3,None,True,True,None
2018 Sep 08,2458369.9756,g,99.0,99.0,20.90,P48+ZTF,1,None,True,True,None
2018 Sep 09,2458370.8882,g,99.0,99.0,20.82,P48+ZTF,3,None,True,True,None
2018 Sep 10,2458371.8833,g,99.0,99.0,21.03,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.8898,r,99.0,99.0,20.81,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.8907,r,99.0,99.0,20.73,P48+ZTF,1,None,True,True,None
2018 Sep 11,2458372.9197,g,99.0,99.0,20.97,P48+ZTF,3,None,True,True,None
2018 Sep 11,2458372.9206,g,99.0,99.0,20.91,P48+ZTF,1,None,True,True,None
2018 Sep 12,2458373.9075,g,99.0,99.0,20.74,P48+ZTF,3,None,True,True,None
2018 Sep 12,2458373.9476,r,99.0,99.0,20.73,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.8913,r,99.0,99.0,20.62,P48+ZTF,3,None,True,True,None
2018 Sep 13,2458374.9059,g,99.0,99.0,20.90,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.8712,r,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.8721,r,99.0,99.0,20.75,P48+ZTF,1,None,True,True,None
2018 Sep 14,2458375.9326,g,99.0,99.0,20.93,P48+ZTF,3,None,True,True,None
2018 Sep 14,2458375.9336,g,99.0,99.0,20.91,P48+ZTF,1,None,True,True,None
2018 Sep 15,2458376.9193,r,99.0,99.0,20.89,P48+ZTF,3,None,True,True,None
2018 Sep 15,2458376.9430,g,20.91,0.31,20.98,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.8888,g,20.63,0.22,20.90,P48+ZTF,3,None,True,True,None
2018 Sep 16,2458377.9260,r,99.0,99.0,20.82,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9013,r,20.48,0.19,20.87,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9022,r,20.51,0.18,20.84,P48+ZTF,1,None,True,True,None
2018 Sep 17,2458378.9519,g,20.49,0.18,20.94,P48+ZTF,3,None,True,True,None
2018 Sep 17,2458378.9528,g,20.50,0.26,20.87,P48+ZTF,1,None,True,True,None
2018 Sep 18,2458379.9231,r,20.12,0.18,20.82,P48+ZTF,3,None,True,True,None
2018 Sep 18,2458379.9440,g,20.22,0.16,20.83,P48+ZTF,3,None,True,True,None
2018 Sep 19,2458380.9349,r,19.92,0.14,20.87,P48+ZTF,3,None,True,True,None
2018 Sep 21,2458382.8382,r,19.70,0.13,20.15,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.8382,r,19.70,0.13,20.15,P48+ZTF,1,None,True,True,0.686666667461
2018 Sep 21,2458382.8391,r,19.62,0.12,20.36,P48+ZTF,3,None,True,True,None
2018 Sep 21,2458382.9331,g,19.75,0.16,20.86,P48+ZTF,1,None,True,True,None
2018 Sep 21,2458382.9341,g,19.75,0.13,20.91,P48+ZTF,3,None,True,True,None
2018 Sep 22,2458383.9026,r,19.38,0.11,20.29,P48+ZTF,3,None,True,True,0.649999976158
2018 Sep 22,2458383.9790,g,19.58,0.13,20.74,P48+ZTF,3,None,True,True,0.639999985695
2018 Sep 23,2458384.9693,g,19.47,0.16,19.69,P48+ZTF,3,None,True,True,0.730000019073
2018 Sep 24,2458385.7979,r,19.35,0.17,19.67,P48+ZTF,3,None,True,True,0.660000026226
2018 Sep 24,2458385.8085,r,19.45,0.18,19.49,P48+ZTF,1,None,True,True,0.683333337307
2018 Sep 29,2458390.7579,r,19.25,0.18,19.70,P48+ZTF,1,None,True,True,0.633333325386
2018 Sep 29,2458390.8775,g,19.41,0.16,19.86,P48+ZTF,1,None,True,True,0.746666669846
