date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Sep 29,2458390.9189,g,19.11,0.17,19.36,P48+ZTF,3,None,True,True,0.716666638851
2018 Dec 14,2458466.7319,r,99.0,99.0,18.06,P48+ZTF,1,None,True,True,None
2018 Dec 14,2458466.7501,r,16.86,0.16,17.08,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7721,r,99.0,99.0,19.80,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7937,g,99.0,99.0,19.09,P48+ZTF,3,None,True,True,None
2018 Dec 17,2458469.6673,g,99.0,99.0,19.54,P48+ZTF,1,None,True,True,None
2018 Dec 17,2458469.6701,g,99.0,99.0,19.51,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6887,g,99.0,99.0,19.07,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6977,g,99.0,99.0,19.17,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.7516,r,99.0,99.0,19.11,P48+ZTF,1,None,True,True,None
2018 Dec 30,2458482.6468,g,99.0,99.0,19.56,P48+ZTF,1,None,True,True,None
2018 Dec 30,2458482.6886,r,99.0,99.0,19.02,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6671,r,99.0,99.0,19.86,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.6675,g,99.0,99.0,19.87,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.7155,r,99.0,99.0,19.76,P48+ZTF,3,None,True,True,None
2019 Jan 09,2458492.6486,r,99.0,99.0,16.58,P48+ZTF,1,None,True,True,None
2019 Jan 10,2458493.6052,r,18.51,0.15,19.73,P48+ZTF,3,None,True,True,None
2019 Jan 10,2458493.6883,g,99.0,99.0,19.49,P48+ZTF,3,None,True,True,None
2019 Jan 11,2458494.6649,g,99.0,99.0,19.99,P48+ZTF,3,None,True,True,None
2019 Jan 12,2458495.6573,g,99.0,99.0,17.94,P48+ZTF,1,None,True,True,None
2019 Jan 12,2458495.6631,g,18.08,0.09,19.10,P48+ZTF,3,None,True,True,None
