date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Oct 31,2458422.7685,g,99.0,99.0,20.40,P48+ZTF,1,None,True,True,None
2018 Oct 31,2458422.8206,r,19.88,0.24,20.04,P48+ZTF,1,None,True,True,None
2018 Nov 03,2458425.7258,r,99.0,99.0,18.91,P48+ZTF,1,None,True,True,None
2018 Nov 03,2458425.7342,r,99.0,99.0,17.80,P48+ZTF,1,None,True,True,None
2018 Nov 03,2458425.8405,g,99.0,99.0,20.72,P48+ZTF,1,None,True,True,None
2018 Nov 03,2458425.8409,g,99.0,99.0,20.55,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7174,g,99.0,99.0,20.35,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7184,g,99.0,99.0,20.62,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7528,r,99.0,99.0,20.25,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7542,r,99.0,99.0,20.47,P48+ZTF,1,None,True,True,None
2018 Nov 06,2458428.7679,r,18.60,0.08,20.33,P48+ZTF,2,None,True,False,0.699999988079
2018 Nov 07,2458429.8242,r,99.0,99.0,20.34,P48+ZTF,2,None,True,True,None
2018 Nov 09,2458431.6955,r,99.0,99.0,19.55,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.6955,r,19.30,0.20,19.55,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.7295,g,19.73,0.30,19.86,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.7393,g,99.0,99.0,19.99,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.7393,g,19.93,0.26,19.99,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.7739,r,99.0,99.0,19.85,P48+ZTF,1,None,True,True,None
2018 Nov 09,2458431.8303,r,19.33,0.20,19.58,P48+ZTF,2,None,True,True,0.563333332539
2018 Nov 10,2458432.8154,r,99.0,99.0,19.89,P48+ZTF,2,None,True,True,None
2018 Nov 12,2458434.6976,r,19.54,0.16,20.09,P48+ZTF,1,None,True,True,None
2018 Nov 12,2458434.6981,r,99.0,99.0,20.06,P48+ZTF,1,None,True,True,None
2018 Nov 12,2458434.7666,g,19.81,0.26,20.29,P48+ZTF,1,None,True,True,0.709999978542
2018 Nov 12,2458434.7680,g,20.03,0.23,20.35,P48+ZTF,1,None,True,True,0.680000007153
2018 Nov 13,2458435.8250,r,18.77,0.20,19.46,P48+ZTF,2,None,True,True,0.550000011921
2018 Nov 13,2458435.8250,r,18.77,0.20,19.46,P48+ZTF,2,None,True,True,0.550000011921
2018 Nov 14,2458436.7659,r,99.0,99.0,18.36,P48+ZTF,2,None,True,True,None
2018 Nov 15,2458437.7317,g,19.92,0.30,20.07,P48+ZTF,3,None,True,True,0.70333302021
