date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Nov 25,2458447.8327,r,99.0,99.0,99.0,19.43,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.7709,g,99.0,99.0,99.0,18.03,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.8448,r,99.0,99.0,99.0,19.77,P48+ZTF,1,None,True,True,None
2018 Dec 03,2458455.8051,r,99.0,99.0,99.0,20.04,P48+ZTF,1,None,True,True,None
2018 Dec 09,2458461.7621,r,99.0,99.0,99.0,20.48,P48+ZTF,3,None,True,True,None
2018 Dec 09,2458461.7630,r,99.0,99.0,99.0,20.44,P48+ZTF,1,None,True,True,None
2018 Dec 10,2458462.7628,g,99.0,99.0,99.0,19.51,P48+ZTF,3,None,True,True,None
2018 Dec 10,2458462.7886,r,99.0,99.0,99.0,18.71,P48+ZTF,3,None,True,True,None
2018 Dec 12,2458464.7789,r,99.0,99.0,99.0,20.36,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.7799,r,99.0,99.0,99.0,20.35,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.7704,r,99.0,99.0,99.0,20.08,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7454,r,99.0,99.0,99.0,19.30,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7811,g,99.0,99.0,99.0,15.71,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7571,r,99.0,99.0,99.0,20.17,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7580,r,-17.90,19.75,0.15,20.22,P48+ZTF,1,None,True,True,0.716666638851
2018 Dec 16,2458468.7580,r,-17.90,19.75,0.15,20.22,P48+ZTF,1,None,True,True,None
2018 Dec 16,2458468.7965,g,99.0,99.0,99.0,20.07,P48+ZTF,1,None,True,True,None
2018 Dec 17,2458469.6635,g,-18.16,19.49,0.15,20.03,P48+ZTF,3,None,True,True,None
2018 Dec 17,2458469.6933,r,-17.92,19.73,0.21,19.51,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6176,r,-18.48,19.17,0.15,19.55,P48+ZTF,1,None,True,True,0.639999985695
2018 Dec 20,2458472.6176,r,-18.48,19.17,0.15,19.55,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6185,r,-18.43,19.22,0.18,19.53,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6691,g,-18.21,19.44,0.23,19.46,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6728,g,99.0,99.0,99.0,19.46,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6992,g,99.0,99.0,99.0,19.49,P48+ZTF,1,None,True,True,None
2018 Dec 22,2458474.6028,g,-18.51,19.14,0.19,19.48,P48+ZTF,3,None,True,True,None
2018 Dec 22,2458474.6669,r,-18.66,18.99,0.11,19.82,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.5980,g,-18.49,19.16,0.14,19.68,P48+ZTF,1,None,True,True,0.736666679382
2018 Dec 23,2458475.5998,g,-18.56,19.09,0.15,19.62,P48+ZTF,3,None,True,True,0.61333334446
2018 Dec 23,2458475.7985,r,-18.56,19.09,0.12,19.48,P48+ZTF,1,None,True,True,0.683333337307
2018 Dec 29,2458481.7981,r,-18.56,19.09,0.11,19.90,P48+ZTF,1,None,True,True,0.513333320618
2018 Dec 31,2458483.6169,g,-18.18,19.47,0.14,20.53,P48+ZTF,1,None,True,True,0.656666696072
2019 Jan 03,2458486.6214,r,-18.23,19.42,0.11,20.32,P48+ZTF,3,None,True,True,0.763333320618
2019 Jan 03,2458486.6223,r,-18.29,19.36,0.09,20.45,P48+ZTF,1,None,True,True,0.796666681767
2019 Jan 04,2458487.6167,r,-18.14,19.51,0.10,20.50,P48+ZTF,3,None,True,True,0.689999997616
2019 Jan 04,2458487.6769,g,-17.84,19.81,0.15,20.64,P48+ZTF,3,None,True,True,0.753333330154
2019 Jan 07,2458490.6625,r,-18.15,19.50,0.13,20.50,P48+ZTF,1,None,True,True,0.620000004768
2019 Jan 07,2458490.6634,r,-17.88,19.77,0.15,20.33,P48+ZTF,3,None,True,True,0.75
2019 Jan 08,2458491.6088,r,-17.94,19.71,0.14,20.25,P48+ZTF,3,None,True,True,0.75
2019 Jan 10,2458493.6108,r,-17.94,19.71,0.13,20.36,P48+ZTF,1,None,True,True,0.758571445942
2019 Jan 10,2458493.6117,r,-17.86,19.79,0.17,20.37,P48+ZTF,3,None,True,True,0.671428561211
2019 Jan 11,2458494.6120,r,-18.04,19.61,0.12,20.40,P48+ZTF,3,None,True,True,0.610000014305
