date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Dec 05,2458457.7508,r,99.0,99.0,99.0,19.64,P48+ZTF,1,None,True,True,None
2018 Dec 05,2458457.7744,g,99.0,99.0,99.0,19.87,P48+ZTF,1,None,True,True,None
2018 Dec 14,2458466.7305,r,99.0,99.0,99.0,19.00,P48+ZTF,1,None,True,True,None
2018 Dec 14,2458466.7314,r,-17.26,19.48,0.39,18.94,P48+ZTF,3,None,True,True,0.54666697979
2018 Dec 14,2458466.7930,g,99.0,99.0,99.0,17.70,P48+ZTF,1,None,True,True,None
2018 Dec 16,2458468.7933,g,-18.03,18.71,0.11,19.70,P48+ZTF,3,None,True,True,0.463333338499
2018 Dec 16,2458468.7933,g,-18.03,18.71,0.11,19.70,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.7095,g,-18.82,17.92,0.08,19.06,P48+ZTF,1,None,True,True,0.596666693687
2018 Dec 20,2458472.7104,g,-18.93,17.81,0.09,19.08,P48+ZTF,3,None,True,True,0.633333325386
2018 Dec 20,2458472.7521,r,-18.67,18.07,0.09,19.13,P48+ZTF,3,None,True,True,0.550000011921
2018 Dec 24,2458476.7949,r,-19.08,17.66,0.06,19.30,P48+ZTF,1,None,True,True,0.759999990463
2018 Dec 27,2458479.6998,r,-19.12,17.62,0.11,19.57,P60+SEDM,None,PS1,True,True,None
2018 Dec 31,2458483.6672,g,-19.28,17.45,0.05,20.18,P48+ZTF,1,None,True,True,0.610000014305
2019 Jan 05,2458488.6741,g,-19.16,17.58,0.17,18.00,P48+ZTF,3,None,True,True,0.543333351612
2019 Jan 05,2458488.7521,r,-19.24,17.50,0.08,18.65,P48+ZTF,3,None,True,True,0.503333330154
2019 Jan 07,2458490.6881,r,-19.22,17.52,0.04,19.96,P48+ZTF,3,None,True,True,0.790000021458
2019 Jan 08,2458491.6680,g,-18.99,17.75,0.07,20.04,P48+ZTF,3,None,True,True,0.620000004768
2019 Jan 08,2458491.7146,r,-19.18,17.56,0.05,20.00,P48+ZTF,3,None,True,True,0.833333313465
2019 Jan 09,2458492.6481,r,-19.23,17.51,0.12,18.00,P48+ZTF,3,None,True,True,0.503333330154
2019 Jan 10,2458493.6259,r,-19.17,17.57,0.04,19.94,P48+ZTF,3,None,True,True,0.755714297295
2019 Jan 10,2458493.7078,g,-18.79,17.94,0.05,20.06,P48+ZTF,3,None,True,True,0.691428542137
2019 Jan 22,2458505.6263,r,-18.71,18.03,0.09,19.12,P48+ZTF,3,None,True,True,0.497142851353
2019 Jan 22,2458505.6409,r,-18.64,18.10,0.09,19.17,P48+ZTF,1,None,True,True,0.488571435213
2019 Jan 24,2458507.6960,g,-17.66,19.08,0.16,19.63,P48+ZTF,3,None,True,True,0.381428569555
2019 Jan 25,2458508.6800,g,-17.78,18.95,0.12,19.54,P48+ZTF,3,None,True,True,0.227142855525
2019 Jan 25,2458508.7100,r,-18.52,18.21,0.10,19.25,P48+ZTF,1,None,True,True,0.234285712242
2019 Jan 28,2458511.6463,g,-17.47,19.27,0.14,19.74,P48+ZTF,1,None,True,True,0.417142868042
2019 Jan 28,2458511.6472,g,-17.31,19.42,0.20,19.63,P48+ZTF,3,None,True,True,0.224285706878
