date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Nov 25,2458447.8327,r,99.0,99.0,19.42,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.7709,g,99.0,99.0,18.02,P48+ZTF,1,None,True,True,None
2018 Nov 28,2458450.8448,r,99.0,99.0,19.90,P48+ZTF,1,None,True,True,None
2018 Dec 03,2458455.8051,r,99.0,99.0,20.02,P48+ZTF,1,None,True,True,None
2018 Dec 09,2458461.7621,r,99.0,99.0,20.44,P48+ZTF,3,None,True,True,None
2018 Dec 09,2458461.7630,r,99.0,99.0,20.39,P48+ZTF,1,None,True,True,None
2018 Dec 10,2458462.7628,g,99.0,99.0,19.45,P48+ZTF,3,None,True,True,None
2018 Dec 10,2458462.7886,r,99.0,99.0,18.66,P48+ZTF,3,None,True,True,None
2018 Dec 12,2458464.7789,r,99.0,99.0,20.33,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.7799,r,99.0,99.0,20.34,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.7704,r,99.0,99.0,20.05,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7454,r,99.0,99.0,19.29,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7811,g,99.0,99.0,15.44,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7571,r,99.0,99.0,20.16,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7580,r,99.0,99.0,20.23,P48+ZTF,1,None,True,True,None
2018 Dec 16,2458468.7965,g,99.0,99.0,20.04,P48+ZTF,1,None,True,True,None
2018 Dec 17,2458469.6635,g,99.0,99.0,19.98,P48+ZTF,3,None,True,True,None
2018 Dec 17,2458469.6933,r,99.0,99.0,19.56,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6176,r,99.0,99.0,19.55,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6185,r,99.0,99.0,19.50,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6691,g,99.0,99.0,19.46,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6728,g,99.0,99.0,19.41,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6992,g,99.0,99.0,19.48,P48+ZTF,1,None,True,True,None
2018 Dec 22,2458474.6028,g,99.0,99.0,19.45,P48+ZTF,3,None,True,True,None
2018 Dec 22,2458474.6669,r,17.88,0.16,19.83,P48+ZTF,3,None,True,True,0.300000011921
