date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Dec 12,2458464.7789,r,99.0,99.0,20.26,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.7799,r,99.0,99.0,20.26,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.7704,r,99.0,99.0,20.06,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7454,r,99.0,99.0,19.25,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7571,r,99.0,99.0,20.21,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7580,r,99.0,99.0,20.23,P48+ZTF,1,None,True,True,None
2018 Dec 16,2458468.7965,g,99.0,99.0,20.08,P48+ZTF,1,None,True,True,None
2018 Dec 17,2458469.6635,g,99.0,99.0,20.00,P48+ZTF,3,None,True,True,None
2018 Dec 17,2458469.6933,r,99.0,99.0,19.42,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6176,r,99.0,99.0,19.45,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6185,r,99.0,99.0,19.41,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6691,g,99.0,99.0,19.37,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6728,g,99.0,99.0,19.40,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6992,g,99.0,99.0,19.40,P48+ZTF,1,None,True,True,None
2018 Dec 22,2458474.6028,g,99.0,99.0,19.42,P48+ZTF,3,None,True,True,None
2018 Dec 22,2458474.6669,r,19.66,0.15,19.76,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.5980,g,99.0,99.0,19.60,P48+ZTF,1,None,True,True,None
2018 Dec 23,2458475.5998,g,99.0,99.0,19.58,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.7976,r,19.49,0.17,19.51,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.7985,r,99.0,99.0,19.47,P48+ZTF,1,None,True,True,None
2018 Dec 29,2458481.7981,r,99.0,99.0,19.85,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.6169,g,99.0,99.0,20.49,P48+ZTF,1,None,True,True,None
2019 Jan 03,2458486.6214,r,19.70,0.16,20.28,P48+ZTF,3,None,True,True,None
2019 Jan 03,2458486.6223,r,19.70,0.14,20.46,P48+ZTF,1,None,True,True,None
2019 Jan 04,2458487.6167,r,19.57,0.11,20.49,P48+ZTF,3,None,True,True,None
2019 Jan 04,2458487.6769,g,99.0,99.0,20.63,P48+ZTF,3,None,True,True,None
2019 Jan 05,2458488.6188,r,99.0,99.0,15.66,P48+ZTF,3,None,True,True,None
2019 Jan 05,2458488.6611,g,99.0,99.0,16.28,P48+ZTF,3,None,True,True,None
2019 Jan 07,2458490.6231,g,99.0,99.0,20.26,P48+ZTF,3,None,True,True,None
2019 Jan 07,2458490.6240,g,99.0,99.0,20.40,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6625,r,20.13,0.18,20.59,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6634,r,19.97,0.14,20.33,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.6088,r,19.91,0.19,20.22,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.6768,g,99.0,99.0,20.43,P48+ZTF,3,None,True,True,None
2019 Jan 09,2458492.6387,r,99.0,99.0,18.63,P48+ZTF,3,None,True,True,None
2019 Jan 09,2458492.6742,g,99.0,99.0,19.06,P48+ZTF,3,None,True,True,None
2019 Jan 10,2458493.6108,r,99.0,99.0,20.29,P48+ZTF,1,None,True,True,None
2019 Jan 10,2458493.6117,r,20.14,0.20,20.30,P48+ZTF,3,None,True,True,None
