date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Dec 09,2458461.7621,r,99.0,99.0,20.41,P48+ZTF,3,None,True,True,None
2018 Dec 09,2458461.7630,r,99.0,99.0,20.35,P48+ZTF,1,None,True,True,None
2018 Dec 10,2458462.7628,g,99.0,99.0,19.60,P48+ZTF,3,None,True,True,None
2018 Dec 10,2458462.7886,r,99.0,99.0,18.54,P48+ZTF,3,None,True,True,None
2018 Dec 12,2458464.7789,r,99.0,99.0,20.20,P48+ZTF,1,None,True,True,None
2018 Dec 12,2458464.7799,r,99.0,99.0,20.24,P48+ZTF,3,None,True,True,None
2018 Dec 13,2458465.7704,r,99.0,99.0,20.04,P48+ZTF,3,None,True,True,None
2018 Dec 14,2458466.7454,r,99.0,99.0,19.20,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7571,r,99.0,99.0,20.04,P48+ZTF,3,None,True,True,None
2018 Dec 16,2458468.7580,r,99.0,99.0,20.03,P48+ZTF,1,None,True,True,None
2018 Dec 16,2458468.7965,g,99.0,99.0,19.88,P48+ZTF,1,None,True,True,None
2018 Dec 17,2458469.6933,r,99.0,99.0,19.54,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6176,r,99.0,99.0,19.25,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6185,r,99.0,99.0,19.26,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6691,g,99.0,99.0,19.32,P48+ZTF,1,None,True,True,None
2018 Dec 20,2458472.6728,g,99.0,99.0,19.39,P48+ZTF,3,None,True,True,None
2018 Dec 20,2458472.6992,g,99.0,99.0,19.32,P48+ZTF,1,None,True,True,None
2018 Dec 22,2458474.6028,g,99.0,99.0,19.37,P48+ZTF,3,None,True,True,None
2018 Dec 22,2458474.6669,r,99.0,99.0,19.67,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.5980,g,99.0,99.0,19.60,P48+ZTF,1,None,True,True,None
2018 Dec 23,2458475.5998,g,99.0,99.0,19.55,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.7976,r,99.0,99.0,19.42,P48+ZTF,3,None,True,True,None
2018 Dec 23,2458475.7985,r,99.0,99.0,19.41,P48+ZTF,1,None,True,True,None
2018 Dec 29,2458481.7981,r,99.0,99.0,19.77,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.6169,g,99.0,99.0,20.48,P48+ZTF,1,None,True,True,None
2019 Jan 03,2458486.6214,r,16.53,0.03,20.22,P48+ZTF,3,None,True,True,None
2019 Jan 03,2458486.6223,r,16.51,0.04,20.38,P48+ZTF,1,None,True,True,None
2019 Jan 04,2458487.6167,r,16.47,0.05,20.39,P48+ZTF,3,None,True,True,None
2019 Jan 04,2458487.6769,g,16.42,0.03,20.61,P48+ZTF,3,None,True,True,None
2019 Jan 07,2458490.6231,g,16.70,0.04,20.28,P48+ZTF,3,None,True,True,0.589999973774
2019 Jan 07,2458490.6240,g,16.70,0.03,20.36,P48+ZTF,1,None,True,True,0.689999997616
2019 Jan 07,2458490.6625,r,16.75,0.03,20.38,P48+ZTF,1,None,True,True,0.850000023842
2019 Jan 07,2458490.6634,r,16.77,0.04,20.25,P48+ZTF,3,None,True,True,0.816666662693
2019 Jan 08,2458491.6088,r,16.87,0.04,20.18,P48+ZTF,3,None,True,True,0.786666691303
2019 Jan 08,2458491.6768,g,16.81,0.03,20.37,P48+ZTF,3,None,True,True,0.753333330154
2019 Jan 09,2458492.6387,r,17.06,0.08,18.54,P48+ZTF,3,None,True,True,0.660000026226
2019 Jan 09,2458492.6742,g,16.97,0.04,19.27,P48+ZTF,3,None,True,True,0.686666667461
2019 Jan 10,2458493.6108,r,16.92,0.03,20.20,P48+ZTF,1,None,True,True,0.755714297295
2019 Jan 10,2458493.6117,r,16.91,0.04,20.27,P48+ZTF,3,None,True,True,0.762857139111
2019 Jan 10,2458493.6714,g,16.95,0.03,20.39,P48+ZTF,3,None,True,True,0.675714313984
2019 Jan 10,2458493.6723,g,16.90,0.04,20.48,P48+ZTF,1,None,True,True,0.722857117653
2019 Jan 11,2458494.6120,r,16.99,0.05,19.65,P48+ZTF,3,None,True,True,0.427142858505
2019 Jan 12,2458495.6616,g,16.82,0.04,19.70,P48+ZTF,3,None,True,True,0.701428592205
2019 Jan 20,2458503.6732,g,19.18,0.19,19.28,P48+ZTF,1,None,True,True,0.360000014305
2019 Jan 20,2458503.6741,g,19.16,0.18,19.28,P48+ZTF,3,None,True,True,0.337142854929
