date,jdobs,filter,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2018 Dec 29,2458481.7981,r,99.0,99.0,19.60,P48+ZTF,1,None,True,True,None
2018 Dec 31,2458483.6169,g,99.0,99.0,20.56,P48+ZTF,1,None,True,True,None
2019 Jan 03,2458486.6214,r,99.0,99.0,20.24,P48+ZTF,3,None,True,True,None
2019 Jan 03,2458486.6223,r,99.0,99.0,20.40,P48+ZTF,1,None,True,True,None
2019 Jan 04,2458487.6167,r,99.0,99.0,20.43,P48+ZTF,3,None,True,True,None
2019 Jan 04,2458487.6769,g,99.0,99.0,20.58,P48+ZTF,3,None,True,True,None
2019 Jan 05,2458488.6188,r,99.0,99.0,15.90,P48+ZTF,3,None,True,True,None
2019 Jan 07,2458490.6231,g,99.0,99.0,20.37,P48+ZTF,3,None,True,True,None
2019 Jan 07,2458490.6240,g,99.0,99.0,20.40,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6625,r,99.0,99.0,20.41,P48+ZTF,1,None,True,True,None
2019 Jan 07,2458490.6634,r,99.0,99.0,20.30,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.6088,r,99.0,99.0,20.23,P48+ZTF,3,None,True,True,None
2019 Jan 08,2458491.6768,g,99.0,99.0,20.35,P48+ZTF,3,None,True,True,None
2019 Jan 09,2458492.6387,r,99.0,99.0,18.42,P48+ZTF,3,None,True,True,None
2019 Jan 09,2458492.6742,g,99.0,99.0,19.48,P48+ZTF,3,None,True,True,None
2019 Jan 10,2458493.6108,r,99.0,99.0,20.31,P48+ZTF,1,None,True,True,None
2019 Jan 10,2458493.6117,r,99.0,99.0,20.32,P48+ZTF,3,None,True,True,None
2019 Jan 10,2458493.6714,g,99.0,99.0,20.45,P48+ZTF,3,None,True,True,None
2019 Jan 10,2458493.6723,g,99.0,99.0,20.46,P48+ZTF,1,None,True,True,None
2019 Jan 11,2458494.6120,r,99.0,99.0,19.60,P48+ZTF,3,None,True,True,None
2019 Jan 12,2458495.6616,g,99.0,99.0,19.55,P48+ZTF,3,None,True,True,None
2019 Jan 20,2458503.6732,g,99.0,99.0,19.31,P48+ZTF,1,None,True,True,None
2019 Jan 20,2458503.6741,g,99.0,99.0,19.31,P48+ZTF,3,None,True,True,None
2019 Jan 22,2458505.6750,g,99.0,99.0,18.98,P48+ZTF,3,None,True,True,None
2019 Jan 26,2458509.6491,g,20.04,0.31,19.90,P48+ZTF,1,None,True,True,None
2019 Jan 26,2458509.6500,g,99.0,99.0,19.75,P48+ZTF,3,None,True,True,None
2019 Jan 27,2458510.6600,g,20.15,0.25,19.99,P48+ZTF,3,None,True,True,None
2019 Jan 28,2458511.6435,g,20.11,0.20,20.09,P48+ZTF,3,None,True,True,None
2019 Jan 31,2458514.6511,g,99.0,99.0,20.52,P48+ZTF,1,None,True,True,None
2019 Feb 08,2458522.6453,g,99.0,99.0,20.17,P48+ZTF,3,None,True,True,None
2019 Feb 09,2458523.6664,r,19.94,0.19,20.06,P48+ZTF,3,None,True,True,0.784285724163
