date,jdobs,filter,absmag,mag,emag,limmag,instrument,programid,refsys,issub,isdiffpos,rb
2019 Mar 15,2458557.8967,r,99.0,99.0,99.0,20.08,P48+ZTF,1,None,True,True,None
2019 Mar 18,2458560.7920,g,99.0,99.0,99.0,19.01,P48+ZTF,1,None,True,True,None
2019 Mar 18,2458560.8975,r,99.0,99.0,99.0,19.85,P48+ZTF,1,None,True,True,None
2019 Mar 26,2458568.8353,r,99.0,99.0,99.0,17.67,P48+ZTF,1,None,True,True,None
2019 Mar 26,2458568.8935,g,99.0,99.0,99.0,19.33,P48+ZTF,1,None,True,True,None
2019 Mar 31,2458573.9021,r,99.0,99.0,99.0,20.13,P48+ZTF,1,None,True,True,None
2019 Apr 09,2458582.7729,r,-18.95,18.00,0.07,20.08,P48+ZTF,1,None,True,True,None
2019 Apr 09,2458582.8561,g,-18.84,18.11,0.06,20.53,P48+ZTF,1,None,True,True,None
2019 Apr 11,2458584.7884,g,-19.15,17.80,0.07,20.03,P48+ZTF,1,None,True,True,0.761428594589
2019 Apr 11,2458584.8613,r,-19.24,17.70,0.07,20.11,P48+ZTF,1,None,True,True,0.825714290142
2019 Apr 12,2458585.7730,g,-19.20,17.75,0.05,20.22,P48+ZTF,1,None,True,True,0.857142865658
2019 Apr 12,2458585.8350,r,-19.30,17.65,0.06,20.34,P48+ZTF,1,None,True,True,0.827142834663
2019 Apr 14,2458587.9703,r,-19.30,17.65,0.03,99.0,P60+SEDM,None,SDSS,True,True,None
2019 Apr 15,2458588.8140,g,-19.34,17.61,0.06,19.70,P48+ZTF,1,None,True,True,0.824285686016
2019 Apr 15,2458588.8154,g,-19.44,17.51,0.09,18.44,P48+ZTF,1,None,True,True,0.6157143116
2019 Apr 15,2458588.8594,r,-19.36,17.59,0.09,18.66,P48+ZTF,1,None,True,True,0.497142851353
2019 Apr 18,2458591.7299,g,-19.39,17.56,0.12,18.48,P48+ZTF,1,None,True,True,0.562857151031
2019 Apr 18,2458591.8759,r,-19.46,17.49,0.07,18.77,P48+ZTF,1,None,True,True,0.71285712719
2019 Apr 21,2458594.7727,g,-19.45,17.50,0.08,18.81,P48+ZTF,1,None,True,True,0.620000004768
2019 Apr 21,2458594.8557,r,-19.50,17.45,0.08,18.86,P48+ZTF,1,None,True,True,0.748571455479
